clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-09-17 10:38:01.937090,baseline,umap_fuzzy_simplicial_set,20428,20428,1.0,1.0,1.0,1.0,1.0,20428.0,20428.0,20428.0,20428.0,angular,20428,20428,0.0,1,20428,1,20428,4,0.0,EXP,20428.0,20428.0,20428.0,20428.0,0.0,0.0,nan
leiden_cpm,2024-09-17 10:38:01.937090,baseline,umap_fuzzy_simplicial_set,134,134,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,47.728971962616825,52.73039215686274,45.5,48.0,angular,5,11,0.6831299846807396,428,10757,204,20428,4,0.005,EXP,33.0,36.0,58.0,64.0,20.9287041154603,23.321934004892604,-0.009735823379666024
leiden_cpm,2024-09-17 10:38:01.937090,baseline,umap_fuzzy_simplicial_set,74,74,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,28.975886524822695,31.16906474820144,28.0,29.0,angular,3,7,0.6518118549410764,705,8665,278,20428,4,0.01,EXP,21.0,22.0,36.0,37.0,11.546918785283452,12.78109186248368,-0.011042222684809692
leiden_cpm,2024-09-17 10:38:01.937090,baseline,umap_fuzzy_simplicial_set,53,53,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,21.70882040382572,23.829652996845425,21.0,22.0,angular,4,8,0.6323031397553109,941,7554,317,20428,4,0.015,EXP,16.0,16.0,27.0,30.0,8.449903431567387,9.379284722115875,-0.004787529826246206
leiden_cpm,2024-09-17 10:38:01.937090,baseline,umap_fuzzy_simplicial_set,55,55,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,18.206773618538325,19.994565217391305,17.0,19.0,angular,3,5,0.6183784318590069,1122,7358,368,20428,4,0.02,EXP,13.0,14.0,22.0,24.0,6.922156199711746,7.780617838025388,-0.004339586699403018
leiden_cpm,2024-09-17 10:38:01.937090,baseline,umap_fuzzy_simplicial_set,42,42,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,16.03453689167975,17.934782608695652,15.0,17.0,angular,3,6,0.6075611826077193,1274,6600,368,20428,4,0.025,EXP,12.0,13.0,19.0,21.25,5.911598926313716,6.465719550101683,-0.0026950887005394654
leiden_cpm,2024-09-17 10:38:01.937090,baseline,umap_fuzzy_simplicial_set,35,35,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,14.275331935709294,15.818407960199005,14.0,15.0,angular,3,4,0.5962298839162147,1431,6359,402,20428,4,0.03,EXP,11.0,12.0,17.0,19.0,5.147273349371008,5.357317908884263,-0.0010547048601863857
leiden_cpm,2024-09-17 10:38:01.937090,baseline,umap_fuzzy_simplicial_set,34,30,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,12.953709575142677,14.368544600938968,12.0,14.0,angular,3,3,0.5880051354453738,1577,6121,426,20428,4,0.035,EXP,10.0,11.0,16.0,17.0,4.73974685537137,5.006835350721193,0.0017805144336976706
leiden_cpm,2024-09-17 10:38:01.937090,baseline,umap_fuzzy_simplicial_set,29,29,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,11.869843114468333,13.368181818181819,11.0,13.0,angular,3,3,0.5786555301528974,1721,5882,440,20428,4,0.04,EXP,9.0,10.0,14.0,16.0,4.261829069519814,4.548315009043195,0.004409950806801624
leiden_cpm,2024-09-17 10:38:01.937090,baseline,umap_fuzzy_simplicial_set,31,29,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,11.078091106290673,12.443231441048034,11.0,12.0,angular,3,3,0.5722032296629865,1844,5699,458,20428,4,0.045,EXP,8.0,9.0,13.0,15.0,3.962866882273958,4.2767330350379895,0.007317101109636819
leiden_cpm,2024-09-17 10:38:01.937090,baseline,umap_fuzzy_simplicial_set,28,28,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,10.369543147208121,11.611570247933884,10.0,11.0,angular,2,3,0.5648671209694991,1970,5620,484,20428,4,0.05,EXP,8.0,9.0,13.0,14.0,3.712030967403243,4.065317733969029,0.010055849120889927
