clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,20428,20428,1.0,1.0,1.0,1.0,1.0,20428.0,20428.0,20428.0,20428.0,clr,20428,20428,0.0,1,20428,1,20428,9,0.0,EXP,20428.0,20428.0,20428.0,20428.0,0.0,0.0,nan
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,202,202,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,74.01449275362319,87.43362831858407,67.0,84.0,clr,8,9,0.48233089933511913,276,9880,113,20428,9,0.005,EXP,44.75,55.0,100.0,114.0,39.407015028270706,42.660809999859985,0.003852177707939311
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,141,141,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,40.612326043737575,47.49707602339181,36.0,43.0,clr,8,11,0.44155134573385524,503,8122,171,20428,9,0.01,EXP,26.0,29.5,52.0,62.0,20.235561260314427,22.02029214847437,0.004575687627343191
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,105,105,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,30.30860534124629,36.41346153846154,27.5,33.0,clr,4,7,0.4204450333926065,674,7574,208,20428,9,0.015,EXP,19.0,24.0,39.0,46.0,14.29011663236167,16.24873401987123,0.005507022835824145
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,81,81,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,24.14657210401891,28.18,22.0,27.0,clr,4,7,0.4020566110918402,846,7045,250,20428,9,0.02,EXP,16.0,20.0,30.0,34.0,10.731398500728785,11.581519762103762,0.006180890151978345
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,60,60,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,20.781281790437436,24.74703557312253,19.0,23.0,clr,2,5,0.39123843282337734,983,6261,253,20428,9,0.025,EXP,14.0,18.0,26.0,30.0,9.237896625532926,10.50800753889479,0.00695191644148627
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,56,55,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,18.255585344057195,21.587412587412587,17.0,20.0,clr,2,4,0.380655087479829,1119,6174,286,20428,9,0.03,EXP,12.0,15.0,22.0,26.0,8.172454365665894,9.438300688085894,0.007298497927474816
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,55,55,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,16.277290836653385,18.99342105263158,15.0,18.0,clr,2,4,0.3705090943755735,1255,5774,304,20428,9,0.035,EXP,11.0,13.0,20.0,23.0,7.28232608021102,8.463930210734748,0.007982377789278754
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,45,45,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,14.824383164005805,17.0,14.0,16.0,clr,3,4,0.36250235989231533,1378,5559,327,20428,9,0.04,EXP,10.0,11.0,18.0,21.0,6.501395447267338,7.258444412580417,0.008379845657402544
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,46,42,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,13.673360107095046,16.035502958579883,12.0,15.0,clr,3,4,0.35696574981284085,1494,5420,338,20428,9,0.045,EXP,9.0,11.0,17.0,20.0,6.09269097812518,7.065118491805051,0.008872787525071696
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,41,41,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,12.847798742138364,15.403899721448468,12.0,15.0,clr,2,3,0.35068171713334034,1590,5530,359,20428,9,0.05,EXP,9.0,11.0,16.0,19.0,5.630172941901669,6.511706736719775,0.00930372652060321
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,44,36,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,12.174016686531585,14.343575418994414,11.0,13.0,clr,2,4,0.34546854868783866,1678,5135,358,20428,9,0.055,EXP,9.0,10.0,15.0,18.0,5.224357727377322,6.0525492628732485,0.009708250241435448
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,37,37,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,11.469960696238068,13.53315649867374,11.0,13.0,clr,2,3,0.33981746556587555,1781,5102,377,20428,9,0.06,EXP,8.0,10.0,14.0,16.0,4.937091216334807,5.875326176117665,0.00991883320897227
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,34,33,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,10.924064171122994,12.963917525773196,10.0,12.0,clr,2,3,0.33472934716481695,1870,5030,388,20428,9,0.065,EXP,8.0,9.0,13.0,16.0,4.664303921926183,5.6045578941674155,0.010199901387755147
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,34,33,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,10.291183879093198,12.45219638242894,9.0,11.0,clr,2,3,0.32929030994109554,1985,4819,387,20428,9,0.07,EXP,7.0,9.0,12.0,15.0,4.493134741747492,5.213247296291118,0.010784518484366123
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,34,34,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,9.90208434318953,11.805755395683454,9.0,11.0,clr,2,3,0.32605565787777613,2063,4923,417,20428,9,0.075,EXP,7.0,8.0,12.0,14.0,4.357632193201767,5.096024261941678,0.01099083812448989
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,34,34,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,9.586109807602064,11.528678304239401,9.0,11.0,clr,2,3,0.32139977131390585,2131,4623,401,20428,9,0.08,EXP,7.0,8.0,12.0,14.0,4.030791204416523,4.677616941149925,0.011225111691069727
leiden_cpm,2024-09-19 10:49:25.733791,baseline,umap_fuzzy_simplicial_set,30,30,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,9.067021748779405,10.91767554479419,8.0,10.0,clr,2,3,0.3162802079585007,2253,4509,413,20428,9,0.085,EXP,6.0,8.0,11.0,13.0,3.8522927797439572,4.528414719894631,0.011634532875526555
