clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,20428,20428,1.0,1.0,1.0,1.0,1.0,20428.0,20428.0,20428.0,20428.0,euclidean,20428,20428,0.0,1,20428,1,20428,7,0.0,EXP,20428.0,20428.0,20428.0,20428.0,0.0,0.0,nan
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,172,172,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,79.796875,86.91836734693878,74.0,84.0,euclidean,6,6,0.6212591701934944,256,12777,147,20428,7,0.005,EXP,52.75,57.0,104.5,115.0,35.73281041612002,38.08288672461716,0.03294712341491093
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,117,117,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,45.598214285714285,49.44497607655502,43.5,48.0,euclidean,7,11,0.5764539207492497,448,10334,209,20428,7,0.01,EXP,32.0,34.0,56.0,63.0,19.414859837905354,19.92709405886886,0.032753823319908046
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,91,91,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,31.968701095461658,35.568548387096776,30.0,34.0,euclidean,5,5,0.5487448248988362,639,8821,248,20428,7,0.015,EXP,22.0,25.0,40.5,44.0,14.455661746485681,14.90437729021072,0.034489422637209693
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,67,61,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.08939974457216,29.265734265734267,25.0,28.0,euclidean,6,7,0.5279163583537859,783,8370,286,20428,7,0.02,EXP,18.0,21.0,33.0,37.0,10.851590393641223,11.502782301888098,0.03480795854698879
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,63,55,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,22.204347826086956,24.493548387096773,21.0,24.0,euclidean,4,4,0.5132529749422883,920,7593,310,20428,7,0.025,EXP,15.0,17.0,28.0,31.0,9.245538442752174,9.894522286594576,0.03673436188516996
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,59,55,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,19.27169811320755,21.375375375375377,18.0,20.0,euclidean,4,4,0.5006442776204466,1060,7118,333,20428,7,0.03,EXP,13.0,14.0,24.0,27.0,8.157283523018071,8.981475443120111,0.03814174742650451
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,58,46,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,17.610344827586207,19.630985915492957,17.0,19.0,euclidean,3,4,0.49073710342892607,1160,6969,355,20428,7,0.035,EXP,12.0,13.0,22.0,25.0,7.327785798498763,8.000116047561404,0.04012105657957583
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,46,46,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,15.959375,17.62005277044855,15.0,17.0,euclidean,3,4,0.48127843591228564,1280,6678,379,20428,7,0.04,EXP,12.0,12.0,20.0,22.0,6.545387659212783,7.367347127097153,0.04349781564092648
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,47,47,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,14.518834399431414,16.4934725848564,14.0,16.0,euclidean,3,3,0.4699327086871797,1407,6317,383,20428,7,0.045,EXP,10.0,12.0,18.0,20.0,5.96848218509164,6.816837869692708,0.04492800645882751
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,38,38,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,13.664214046822742,15.428927680798004,13.0,14.0,euclidean,3,4,0.4627225890543175,1495,6187,401,20428,7,0.05,EXP,10.0,11.0,17.0,19.0,5.411213147415209,5.926024525814542,0.046569897544036565
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,35,35,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,12.719800747198008,14.147465437788018,12.0,14.0,euclidean,2,3,0.45477205493860906,1606,6140,434,20428,7,0.055,EXP,9.0,10.0,16.0,17.0,5.0870327135072895,5.45204527892605,0.04814804398624073
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,33,33,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,12.044811320754716,13.614155251141552,11.0,13.0,euclidean,3,3,0.4491598015658659,1696,5963,438,20428,7,0.06,EXP,8.0,10.0,15.0,17.0,4.788608875696588,5.3168535854353225,0.04999206865645317
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,33,33,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,11.482855536818438,12.93362831858407,11.0,12.0,euclidean,2,3,0.4422344192644323,1779,5846,452,20428,7,0.065,EXP,8.0,9.0,14.0,16.0,4.425399826886767,4.700783414645951,0.0497450841948618
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,32,32,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,10.965110037573806,12.52608695652174,11.0,12.0,euclidean,2,3,0.4364211088903161,1863,5762,460,20428,7,0.07,EXP,8.0,9.0,13.0,15.0,4.260488441076262,4.635094613855804,0.052151991619520985
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,31,31,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,10.497430626927029,12.03956043956044,10.0,12.0,euclidean,2,3,0.43171233568059675,1946,5478,455,20428,7,0.075,EXP,8.0,9.0,13.0,14.0,4.0515998104725615,4.419061586048798,0.05287475014798665
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,30,30,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,10.063054187192119,11.656716417910447,10.0,12.0,euclidean,2,3,0.4268203519266481,2030,5467,469,20428,7,0.08,EXP,7.0,8.0,12.0,14.0,3.9662324111095244,4.222422465625224,0.05436264901178486
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,30,30,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,9.64950401511573,11.230603448275861,9.0,11.0,euclidean,2,3,0.4220410628731191,2117,5211,464,20428,7,0.085,EXP,7.0,8.0,12.0,14.0,3.8120667113544404,4.250336049349733,0.05615728925851769
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,30,30,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,9.353479853479854,10.888659793814433,9.0,10.0,euclidean,2,2,0.41748505229020444,2184,5281,485,20428,7,0.09,EXP,7.0,8.0,11.0,13.0,3.67903634168518,4.202107382167912,0.05617749705819286
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,29,29,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.987241531016277,10.525150905432596,8.0,10.0,euclidean,2,2,0.41287454737278695,2273,5231,497,20428,7,0.095,EXP,6.0,8.0,11.0,13.0,3.6039420908367097,4.122357848702699,0.05652805390794989
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,27,27,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.729914529914529,10.133980582524272,8.0,10.0,euclidean,2,2,0.4084396100174635,2340,5219,515,20428,7,0.1,EXP,6.0,7.0,11.0,13.0,3.4174830783758776,3.824234256698771,0.05838760982209396
leiden_cpm,2024-09-13 12:02:55.213640,baseline,umap_fuzzy_simplicial_set,23,23,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.532999164578111,9.948514851485148,8.0,10.0,euclidean,2,2,0.4056882596851089,2394,5024,505,20428,7,0.105,EXP,6.0,7.0,11.0,12.0,3.3549358310169772,3.6344505042167263,0.05904612547880254
