clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,20428,20428,1.0,1.0,1.0,1.0,1.0,20428.0,20428.0,20428.0,20428.0,manhattan,20428,20428,0.0,1,20428,1,20428,4,0.0,EXP,20428.0,20428.0,20428.0,20428.0,0.0,0.0,nan
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,165,165,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,46.63926940639269,50.22549019607843,44.0,46.5,manhattan,3,3,0.6804874366668817,438,10246,204,20428,4,0.005,EXP,31.0,31.0,59.0,64.25,20.781369233734097,23.645837366431067,-0.0010727968158227479
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,74,74,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,27.831062670299726,29.71698113207547,26.0,28.0,manhattan,3,3,0.646224557059936,734,7875,265,20428,4,0.01,EXP,20.0,20.0,34.0,37.0,10.883145217464035,12.586571698157188,-0.0009635405955250666
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,52,52,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,20.823649337410806,22.3208722741433,20.0,21.0,manhattan,3,3,0.626322915131338,981,7165,321,20428,4,0.015,EXP,15.0,16.0,26.0,28.0,8.018485989835401,8.91146312005343,0.005260870967431593
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,50,40,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,17.67128027681661,18.945558739255013,17.0,18.0,manhattan,3,3,0.6134401799214821,1156,6612,349,20428,4,0.02,EXP,13.0,14.0,22.0,24.0,6.51794744112902,6.936049596141261,0.007794385409765878
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,37,37,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,15.511009870918755,16.392670157068064,15.0,16.0,manhattan,3,3,0.601232600909888,1317,6262,382,20428,4,0.025,EXP,12.0,12.0,19.0,20.0,5.5936216493716,6.110050829781414,0.010980942300635723
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,35,32,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,13.934515688949523,14.82716049382716,13.0,14.0,manhattan,2,3,0.5915735549769336,1466,6005,405,20428,4,0.03,EXP,11.0,11.0,17.0,18.0,4.927559376544525,5.177325024212841,0.013400522092468366
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,33,33,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,12.711885500933416,13.786570743405276,12.0,13.0,manhattan,3,3,0.5836192990791702,1607,5749,417,20428,4,0.035,EXP,10.0,11.0,15.0,17.0,4.5441622654832425,4.872475622908205,0.014783119137969222
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,32,32,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,11.659817351598173,12.708715596330276,11.0,12.0,manhattan,2,3,0.5747515674448553,1752,5541,436,20428,4,0.04,EXP,9.0,10.0,14.0,15.0,4.169856163377888,4.388268054192317,0.01645080020330715
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,30,30,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,10.75724065297525,11.743421052631579,11.0,11.0,manhattan,2,3,0.5664037395708871,1899,5355,456,20428,4,0.045,EXP,8.0,9.0,13.0,14.0,3.802599367397498,3.980484262381345,0.020056924265364522
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,26,26,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,10.148037754595132,11.207627118644067,10.0,11.0,manhattan,2,3,0.5615509403236402,2013,5290,472,20428,4,0.05,EXP,8.0,9.0,12.0,13.0,3.597336097596576,3.895796447795291,0.023221422768048464
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,27,27,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,9.760152890587673,10.76271186440678,10.0,10.0,manhattan,2,3,0.5555018653171346,2093,5080,472,20428,4,0.055,EXP,7.0,8.0,12.0,13.0,3.4185350122170677,3.7004992015546625,0.02334365207756871
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,23,23,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,9.160538116591928,10.08125,9.0,10.0,manhattan,2,3,0.549082837909304,2230,4839,480,20428,4,0.06,EXP,7.0,8.0,11.0,12.0,3.2052736361546175,3.4610424880614605,0.02562201894483887
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,23,19,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.763620763620764,9.615853658536585,8.0,9.0,manhattan,2,3,0.5440701047983889,2331,4731,492,20428,4,0.065,EXP,7.0,7.0,11.0,12.0,3.0391944901876653,3.2108797332679724,0.028088484833675226
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,22,22,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.41350906095552,9.282051282051283,8.0,9.0,manhattan,2,2,0.5396869509197085,2428,4706,507,20428,4,0.07,EXP,6.0,7.0,10.0,11.0,2.966093183601262,3.334910869310586,0.03132152956051546
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,21,21,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.138645418326693,8.958661417322835,8.0,9.0,manhattan,2,3,0.5359155583352372,2510,4551,508,20428,4,0.075,EXP,6.0,7.0,10.0,11.0,2.856023995961325,3.1253761631125814,0.030871614338065036
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,20,20,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,7.908633372048006,8.801169590643275,8.0,9.0,manhattan,2,2,0.53275515404559,2583,4515,513,20428,4,0.08,EXP,6.0,7.0,10.0,11.0,2.7643573388100737,3.0810112318855793,0.03376563659656359
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,19,19,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,7.571534469977761,8.445945945945946,7.0,8.0,manhattan,2,3,0.5282428486027967,2698,4375,518,20428,4,0.085,EXP,6.0,6.0,9.0,10.0,2.716168938365196,2.984511655107412,0.03461600184460844
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,18,18,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,7.380057803468208,8.212355212355213,7.0,8.0,manhattan,2,3,0.5237516362156083,2768,4254,518,20428,4,0.09,EXP,6.0,6.0,9.0,10.0,2.5604102356250342,2.8238644236383927,0.034169213006743804
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,19,19,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,7.157673440784864,7.946969696969697,7.0,8.0,manhattan,2,2,0.51965817018039,2854,4196,528,20428,4,0.095,EXP,5.0,6.0,9.0,10.0,2.501929665344681,2.7642588845656095,0.03560651104281883
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,17,17,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.938858695652174,7.758426966292135,7.0,7.0,manhattan,2,2,0.5164310363215213,2944,4143,534,20428,4,0.1,EXP,5.0,6.0,8.0,9.0,2.453992045279273,2.725877200889468,0.03729688106104136
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,18,15,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.691123485096626,7.481012658227848,6.0,7.0,manhattan,2,2,0.5102682542920358,3053,4137,553,20428,4,0.105,EXP,5.0,6.0,8.0,9.0,2.3428483876377846,2.4992044422824633,0.038606524666721716
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,16,14,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.606727037516171,7.362007168458781,6.0,7.0,manhattan,2,2,0.5084985450687497,3092,4108,558,20428,4,0.11,EXP,5.0,6.0,8.0,9.0,2.2602204323588473,2.441749531410247,0.03977287945760431
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,18,14,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.440100882723834,7.0929824561403505,6.0,7.0,manhattan,2,2,0.5055227902515291,3172,4043,570,20428,4,0.115,EXP,5.0,5.0,8.0,8.0,2.2282732110456145,2.417070842121216,0.04113223878008138
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,17,17,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.279741776821395,7.031802120141343,6.0,7.0,manhattan,2,2,0.5022298892110316,3253,3980,566,20428,4,0.12,EXP,5.0,5.0,8.0,9.0,2.1990856177008307,2.3775405091195267,0.04256291679431548
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,16,14,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.11983223487118,6.850088183421517,6.0,7.0,manhattan,2,2,0.49802898454430916,3338,3884,567,20428,4,0.125,EXP,5.0,5.0,7.0,8.0,2.129711293472544,2.2880170537124638,0.04388286859210488
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,16,14,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.995890813031993,6.683219178082192,6.0,7.0,manhattan,2,2,0.49446082722082385,3407,3903,584,20428,4,0.13,EXP,5.0,5.0,7.0,8.0,2.0729251384694045,2.256040426059729,0.04400544373705589
leiden_cpm,2024-08-12 18:27:18.971335,baseline,umap_fuzzy_simplicial_set,16,14,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.861692969870875,6.638260869565217,6.0,6.0,manhattan,2,2,0.49237161001824936,3485,3817,575,20428,4,0.135,EXP,4.0,5.0,7.0,8.0,2.063367448050664,2.269172713019502,0.04632570577695292
