clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-08-13 00:25:21.537267,baseline,umap_fuzzy_simplicial_set,80,80,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,28.293628808864266,31.075,27.0,29.0,manhattan,11,16,0.6425786923347592,722,1243,40,20428,3,0.005,NC,23.0,23.75,32.0,35.5,7.917314268430805,12.077639463073899,-0.05187943548929711
leiden_cpm,2024-08-13 00:25:21.537267,baseline,umap_fuzzy_simplicial_set,58,50,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,28.293628808864266,30.53488372093023,27.0,27.0,manhattan,11,20,0.6435884661623146,722,1313,43,20428,3,0.005,NC,23.0,24.0,33.0,37.0,7.953269915211704,8.252832740477244,-0.0514155314695175
leiden_cpm,2024-08-13 00:25:21.537267,baseline,umap_fuzzy_simplicial_set,65,54,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,28.293628808864266,27.87037037037037,27.0,26.0,manhattan,11,15,0.6431940194381597,722,1505,54,20428,3,0.005,NC,23.0,24.0,32.0,32.5,8.333404951055938,7.760408294662262,-0.052514008063994144
leiden_cpm,2024-08-13 00:25:21.537267,baseline,umap_fuzzy_simplicial_set,69,61,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,28.45125348189415,31.333333333333332,27.0,29.0,manhattan,12,13,0.6424394279973836,718,1222,39,20428,3,0.005,NC,23.0,24.0,33.0,37.5,8.136697182958669,10.8612067453765,-0.05469631109469433
leiden_cpm,2024-08-13 00:25:21.537267,baseline,umap_fuzzy_simplicial_set,61,42,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,28.17655172413793,27.64516129032258,27.0,27.0,manhattan,3,15,0.6415453349491438,725,857,31,20428,3,0.005,NC,23.0,22.0,33.0,32.0,7.77346515546231,7.302444959966508,-0.05228566447283627
leiden_cpm,2024-08-13 00:25:21.537267,baseline,umap_fuzzy_simplicial_set,64,56,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,28.853107344632768,30.62857142857143,27.0,29.0,manhattan,3,14,0.6438766212869962,708,1072,35,20428,3,0.005,NC,23.0,23.5,34.0,37.0,8.38487365221554,10.102575949545074,-0.054187755709240976
leiden_cpm,2024-08-13 00:25:21.537267,baseline,umap_fuzzy_simplicial_set,62,50,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,28.650771388499297,26.906976744186046,27.0,25.0,manhattan,12,15,0.6427342323281484,713,1157,43,20428,3,0.005,NC,23.0,22.5,33.0,29.5,8.781917708997081,7.504460544851082,-0.05310088461531714
leiden_cpm,2024-08-13 00:25:21.537267,baseline,umap_fuzzy_simplicial_set,66,55,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,28.57062937062937,27.84313725490196,27.0,28.0,manhattan,3,12,0.6422962762922946,715,1420,51,20428,3,0.005,NC,23.0,23.0,33.0,30.5,8.26528532852524,8.018049611308001,-0.05563710382947424
leiden_cpm,2024-08-13 00:25:21.537267,baseline,umap_fuzzy_simplicial_set,56,43,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,28.57062937062937,28.647058823529413,28.0,28.0,manhattan,3,3,0.6438656739577626,715,1461,51,20428,3,0.005,NC,23.0,24.0,33.0,33.5,7.925631890432073,7.553271020835069,-0.051117387594500206
leiden_cpm,2024-08-13 00:25:21.537267,baseline,umap_fuzzy_simplicial_set,67,59,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,28.975886524822695,30.425531914893618,28.0,28.0,manhattan,3,14,0.6428582452694279,705,1430,47,20428,3,0.005,NC,24.0,25.0,33.0,35.0,8.523858054247933,9.208563731313495,-0.05100702433134933
leiden_cpm,2024-08-13 00:25:21.537267,baseline,umap_fuzzy_simplicial_set,57,45,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,28.812411847672777,27.362068965517242,28.0,26.0,manhattan,3,15,0.6432166436031592,709,1587,58,20428,3,0.005,NC,23.0,23.0,33.0,31.0,7.843861593937809,6.535574469808769,-0.05493430760636012
