clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,20428,20428,1.0,1.0,1.0,1.0,1.0,20428.0,20428.0,20428.0,20428.0,angular,20428,20428,0.0,1,20428,1,20428,7,0.0,EXP,20428.0,20428.0,20428.0,20428.0,0.0,0.0,nan
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,216,216,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,82.70445344129554,92.33812949640287,76.0,87.0,angular,11,13,0.6062130087065261,247,12835,139,20428,7,0.005,EXP,51.0,59.5,111.0,121.0,41.513054631804884,42.2392217671446,0.01715633025057701
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,131,131,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,44.31236442516269,50.41,42.0,48.0,angular,5,5,0.5562553172880567,461,10082,200,20428,7,0.01,EXP,29.0,37.0,55.0,61.5,20.234579813352752,22.102757746489463,0.014126596698060516
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,95,95,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,32.47694753577107,36.22393822393823,30.0,35.0,angular,6,7,0.5306559406437753,629,9382,259,20428,7,0.015,EXP,22.0,24.0,41.0,46.0,14.764333971232825,16.53999616969366,0.013101859499808473
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,78,78,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,26.49546044098573,29.72027972027972,24.0,27.0,angular,5,5,0.513522492478827,771,8500,286,20428,7,0.02,EXP,18.0,20.0,33.0,37.0,12.122201716839227,13.614526176062084,0.017525451700632893
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,62,62,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,22.156182212581346,24.374613003095977,21.0,23.0,angular,4,5,0.4948156502623255,922,7873,323,20428,7,0.025,EXP,15.0,16.0,27.75,30.0,9.544365509205218,10.583834835954004,0.017931099471706954
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,61,61,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,19.51098376313276,21.892045454545453,18.0,21.0,angular,3,3,0.48433259257338085,1047,7706,352,20428,7,0.03,EXP,13.0,15.0,24.0,27.25,8.417112219479117,9.153349133599693,0.021257535300706776
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,56,54,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,17.474764756201882,19.58600583090379,16.0,18.0,angular,2,5,0.47239672607646144,1169,6718,343,20428,7,0.035,EXP,12.0,14.0,22.0,24.5,7.45614526922005,7.919642486112472,0.021980995286113008
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,51,51,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,15.909657320872274,17.856020942408378,15.0,16.0,angular,2,5,0.46158356825551233,1284,6821,382,20428,7,0.04,EXP,11.0,12.0,20.0,22.0,6.6786216941101175,7.519796064934219,0.024964336382731045
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,41,41,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,14.72819033886085,16.796526054590572,14.0,15.0,angular,2,4,0.45283688885403844,1387,6769,403,20428,7,0.045,EXP,10.0,12.0,18.0,21.0,6.036211787645793,6.68269034256277,0.0259295580903626
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,42,42,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,13.756228956228956,15.794749403341289,13.0,15.0,angular,2,4,0.4454178070678085,1485,6618,419,20428,7,0.05,EXP,10.0,11.5,17.0,19.0,5.677040705018263,6.191137797559571,0.028235780555773506
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,39,39,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,12.8639798488665,14.94927536231884,12.0,14.0,angular,2,3,0.43748210838337337,1588,6189,414,20428,7,0.055,EXP,9.0,11.0,15.0,18.0,5.325111583802407,5.887006650326394,0.02958742148974172
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,36,36,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,12.217703349282298,14.305239179954443,11.0,13.0,angular,2,3,0.43218788101830713,1672,6280,439,20428,7,0.06,EXP,9.0,10.0,15.0,18.0,5.030692637162999,5.76714003764982,0.030525330687700653
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,35,35,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,11.482855536818438,13.665898617511521,11.0,12.5,angular,2,3,0.42543652319654707,1779,5931,434,20428,7,0.065,EXP,8.0,10.0,14.0,17.0,4.745592143980096,5.547564604437954,0.031674445881328804
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,38,38,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,10.929909042268593,12.732181425485962,10.0,12.0,angular,2,3,0.4186097025492338,1869,5895,463,20428,7,0.07,EXP,8.0,9.0,13.0,15.0,4.42364736512624,5.105959440424256,0.03386436508867633
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,32,32,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,10.475897435897435,12.142561983471074,10.0,11.0,angular,2,3,0.4149875810651101,1950,5877,484,20428,7,0.075,EXP,7.0,9.0,13.0,15.0,4.281167297055563,4.826143341421095,0.03523325193116208
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,29,27,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,9.999021047479197,11.480572597137014,10.0,11.0,angular,2,3,0.40837346169503946,2043,5614,489,20428,7,0.08,EXP,7.0,8.0,12.0,14.0,4.007335298287395,4.464828569011371,0.036563040143158976
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,32,32,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,9.663197729422896,11.279835390946502,9.0,11.0,angular,2,3,0.40425216741617054,2114,5482,486,20428,7,0.085,EXP,7.0,8.0,12.0,14.0,3.885555132351319,4.465676688438278,0.037777848634206884
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,30,30,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,9.32785388127854,10.958333333333334,9.0,10.0,angular,2,2,0.40021503861453933,2190,5523,504,20428,7,0.09,EXP,7.0,8.0,11.0,13.0,3.744743708164356,4.1028747664541685,0.03844170370481515
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,25,25,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,9.054964539007091,10.62970297029703,9.0,10.0,angular,2,3,0.39605039045439416,2256,5368,505,20428,7,0.095,EXP,7.0,8.0,11.0,13.0,3.6008263677463552,4.04718566326793,0.03984718361976524
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,26,26,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.790017211703958,10.282945736434108,8.0,10.0,angular,2,2,0.39169639883696356,2324,5306,516,20428,7,0.1,EXP,6.0,8.0,11.0,12.0,3.457482618643737,3.8384756347547464,0.04007357612468378
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,26,26,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.547280334728033,9.896946564885496,8.0,10.0,angular,2,2,0.38831587128858575,2390,5186,524,20428,7,0.105,EXP,6.0,7.0,10.0,12.0,3.3358805880878704,3.6670690280776923,0.0395462717544164
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,26,24,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.290584415584416,9.68952380952381,8.0,9.0,angular,2,2,0.38442804925095675,2464,5087,525,20428,7,0.11,EXP,6.0,7.0,10.0,12.0,3.293042988785736,3.687919114119811,0.041571596860895114
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,26,24,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.058382642998028,9.553191489361701,8.0,9.0,angular,2,2,0.38019643070398207,2535,4939,517,20428,7,0.115,EXP,6.0,7.0,10.0,12.0,3.2026467954775097,3.4122850175067825,0.0396601329550609
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,21,21,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,7.862971516551193,9.37832699619772,8.0,9.0,angular,2,2,0.3764969413427864,2598,4933,526,20428,7,0.12,EXP,6.0,7.0,10.0,11.0,3.112295135173811,3.4325972961091717,0.04149784878524425
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,22,22,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,7.616703952274422,8.979963570127504,7.0,9.0,angular,2,2,0.371995308672362,2682,4930,549,20428,7,0.125,EXP,6.0,7.0,9.0,11.0,2.9820474315507934,3.3807500701655293,0.04250184274043131
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,22,21,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,7.458196422051843,8.80399274047187,7.0,8.0,angular,2,2,0.3698347007912458,2739,4851,551,20428,7,0.13,EXP,5.0,6.5,9.0,11.0,2.918508842344367,3.2356990161878896,0.043892639032999135
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,21,21,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,7.295714285714285,8.584392014519056,7.0,8.0,angular,1,2,0.36708732028047175,2800,4730,551,20428,7,0.135,EXP,5.0,6.0,9.0,11.0,2.8729743529403566,3.1725414967631176,0.0439457164809597
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,21,21,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,7.1029207232267035,8.31762652705061,7.0,8.0,angular,1,2,0.3628323158301881,2876,4766,573,20428,7,0.14,EXP,5.0,6.0,9.0,10.0,2.789904277619052,3.117308537298389,0.04519481559681664
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,20,20,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.972013651877133,8.217543859649123,7.0,8.0,angular,2,2,0.3592986646549833,2930,4684,570,20428,7,0.145,EXP,5.0,6.0,9.0,10.0,2.6982300556588434,3.0455675475472255,0.04564346530969562
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,21,21,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.8688634835238735,8.140845070422536,7.0,8.0,angular,1,2,0.3580877447403923,2974,4624,568,20428,7,0.15,EXP,5.0,6.0,8.0,10.0,2.6836610385434927,2.9872771277483876,0.04571529301723472
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,20,20,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.702099737532809,7.920774647887324,6.0,8.0,angular,1,2,0.35404033292527604,3048,4499,568,20428,7,0.155,EXP,5.0,6.0,8.0,10.0,2.6027132623495866,2.848719399453386,0.04724354986421494
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,19,19,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.608864445163378,7.829565217391305,6.0,8.0,angular,1,2,0.3515206897713971,3091,4502,575,20428,7,0.16,EXP,5.0,6.0,8.0,9.0,2.5435779481774077,2.8053667175005366,0.04662793434499932
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,19,19,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.489199491740788,7.652631578947369,6.0,7.0,angular,1,2,0.3494505371591211,3148,4362,570,20428,7,0.165,EXP,5.0,6.0,8.0,9.0,2.5187122311367793,2.8138819575958536,0.04803939795929196
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,18,17,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.322500773754256,7.481802426343155,6.0,7.0,angular,1,2,0.3468288121186143,3231,4317,577,20428,7,0.17,EXP,5.0,5.0,8.0,9.0,2.477128695058287,2.750786534905613,0.049285262728012855
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,17,17,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.235653235653236,7.315972222222222,6.0,7.0,angular,1,2,0.3441404411611649,3276,4214,576,20428,7,0.17500000000000002,EXP,4.0,5.0,8.0,9.0,2.426330664839214,2.6914515702096424,0.049945114542720236
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,18,16,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.136377290477621,7.318027210884353,6.0,7.0,angular,1,2,0.34191286157423567,3329,4303,588,20428,7,0.18,EXP,4.0,5.0,8.0,9.0,2.3929206637770126,2.716017277117306,0.05125260896583659
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,18,16,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.059922871551469,7.220136518771331,6.0,7.0,angular,1,2,0.33953906246854443,3371,4231,586,20428,7,0.185,EXP,4.0,5.0,7.0,9.0,2.332358855005311,2.665223639060903,0.05209701078614118
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,18,16,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.987104337631887,7.109427609427609,6.0,7.0,angular,1,2,0.3386184735814067,3412,4223,594,20428,7,0.19,EXP,4.0,5.0,7.0,9.0,2.3501660283357007,2.600792162859084,0.05075429276271998
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,17,17,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.8819464439965445,7.014975041597338,6.0,7.0,angular,1,2,0.3357000807880215,3473,4216,601,20428,7,0.195,EXP,4.0,5.0,7.0,9.0,2.3080872878457543,2.6324688451480136,0.05203016417984228
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,16,16,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.741427768409219,6.913907284768212,5.5,7.0,angular,1,2,0.33264662201832373,3558,4176,604,20428,7,0.2,EXP,4.0,5.0,7.0,8.0,2.256345343190912,2.629910474519364,0.0537172617666445
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,17,17,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.638421197902291,6.786184210526316,5.0,7.0,angular,1,2,0.32846170954863374,3623,4126,608,20428,7,0.20500000000000002,EXP,4.0,5.0,7.0,8.0,2.183061013254945,2.512535659398826,0.05392883296724184
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,16,16,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.570766293973275,6.6632996632996635,5.0,6.0,angular,1,2,0.3274043205519166,3667,3958,594,20428,7,0.21,EXP,4.0,5.0,7.0,8.0,2.181959034173294,2.453150222587074,0.055507431533812775
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,16,16,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.5002692514808835,6.5719063545150505,5.0,6.0,angular,1,2,0.3254379543373708,3714,3930,598,20428,7,0.215,EXP,4.0,5.0,7.0,8.0,2.1650090836894584,2.406237722639348,0.055523625179009176
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,15,14,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.422882930714096,6.441322314049587,5.0,6.0,angular,1,2,0.3225601076396041,3767,3897,605,20428,7,0.22,EXP,4.0,5.0,7.0,8.0,2.1203094356327195,2.4349951862931225,0.05575476373610195
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,15,15,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.292227979274611,6.279674796747967,5.0,6.0,angular,1,2,0.31901533100530144,3860,3862,615,20428,7,0.225,EXP,4.0,5.0,7.0,8.0,2.0597529178861422,2.344998460643782,0.056185440087912965
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,14,14,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.241981011034129,6.265700483091788,5.0,6.0,angular,1,2,0.31807371312806104,3897,3891,621,20428,7,0.23,EXP,4.0,5.0,6.0,8.0,2.0589722359368876,2.3450909497210413,0.05715609951801214
leiden_cpm,2024-09-17 10:38:01.935967,baseline,umap_fuzzy_simplicial_set,15,15,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.174265450861196,6.1683168316831685,5.0,6.0,angular,1,2,0.3156147988222125,3948,3738,606,20428,7,0.23500000000000001,EXP,4.0,4.25,6.0,8.0,2.0128831118415835,2.320390203887603,0.05802019647730573
