clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-09-19 10:49:25.732900,baseline,umap_fuzzy_simplicial_set,20428,20428,1.0,1.0,1.0,1.0,1.0,20428.0,20428.0,20428.0,20428.0,clr,20428,20428,0.0,1,20428,1,20428,12,0.0,EXP,20428.0,20428.0,20428.0,20428.0,0.0,0.0,nan
leiden_cpm,2024-09-19 10:49:25.732900,baseline,umap_fuzzy_simplicial_set,273,273,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,91.19642857142857,103.39090909090909,83.5,95.0,clr,6,26,0.4896318523840482,224,11373,110,20428,12,0.005,EXP,56.75,63.0,115.75,127.5,46.81638512119797,51.842786024768365,0.0034591573532036925
leiden_cpm,2024-09-19 10:49:25.732900,baseline,umap_fuzzy_simplicial_set,162,162,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,50.31527093596059,59.43835616438356,46.0,56.0,clr,5,13,0.44575112075090134,406,8678,146,20428,12,0.01,EXP,32.0,41.25,62.75,72.0,25.593046956405967,28.603566355556236,0.004004829961095548
leiden_cpm,2024-09-19 10:49:25.732900,baseline,umap_fuzzy_simplicial_set,128,128,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,36.02821869488536,42.96174863387978,33.0,38.0,clr,6,10,0.4194403692241972,567,7862,183,20428,12,0.015,EXP,23.0,29.0,46.0,54.0,17.6129035440997,20.602235042479208,0.004570083004730271
leiden_cpm,2024-09-19 10:49:25.732900,baseline,umap_fuzzy_simplicial_set,97,97,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,28.853107344632768,35.834170854271356,26.0,33.0,clr,5,6,0.40316395895143703,708,7131,199,20428,12,0.02,EXP,19.0,24.0,36.0,44.0,14.446018901269019,17.006875292865832,0.005261796907372425
leiden_cpm,2024-09-19 10:49:25.732900,baseline,umap_fuzzy_simplicial_set,96,96,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,24.731234866828085,30.96330275229358,22.0,28.5,clr,4,5,0.38821922119666,826,6750,218,20428,12,0.025,EXP,16.25,20.25,31.0,38.75,12.138942104823487,14.773163497843958,0.005440348162024669
leiden_cpm,2024-09-19 10:49:25.732900,baseline,umap_fuzzy_simplicial_set,72,72,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,21.45798319327731,25.713178294573645,19.0,23.0,clr,4,4,0.37520185800259787,952,6634,258,20428,12,0.03,EXP,14.0,16.0,27.0,32.75,10.361244010498725,12.341518632101383,0.005825844619722362
leiden_cpm,2024-09-19 10:49:25.732900,baseline,umap_fuzzy_simplicial_set,70,65,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,19.14526710402999,23.553846153846155,17.0,20.0,clr,3,6,0.36595571892003625,1067,6124,260,20428,12,0.035,EXP,13.0,15.0,24.0,30.0,9.357548541851001,11.665241953019457,0.0063093305818136824
leiden_cpm,2024-09-19 10:49:25.732900,baseline,umap_fuzzy_simplicial_set,67,67,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,17.37074829931973,21.665467625899282,16.0,19.0,clr,3,3,0.35541918852579885,1176,6023,278,20428,12,0.04,EXP,12.0,14.0,21.0,27.0,8.46322344858792,10.742219618648784,0.006531542482589891
leiden_cpm,2024-09-19 10:49:25.732900,baseline,umap_fuzzy_simplicial_set,61,61,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,15.823392718822618,19.87142857142857,14.0,18.0,clr,2,3,0.3463450441624829,1291,5564,280,20428,12,0.045,EXP,11.0,13.0,20.0,24.25,7.617488416485052,9.643164016281064,0.006840837102990305
leiden_cpm,2024-09-19 10:49:25.732900,baseline,umap_fuzzy_simplicial_set,50,50,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,14.696402877697842,18.05280528052805,13.0,16.0,clr,2,2,0.33889370682826453,1390,5470,303,20428,12,0.05,EXP,10.0,12.0,18.0,23.0,7.0333165020170725,8.87484581105526,0.007107022008196989
