clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,20428,20428,1.0,1.0,1.0,1.0,1.0,20428.0,20428.0,20428.0,20428.0,correlation,20428,20428,0.0,1,20428,1,20428,4,0.0,EXP,20428.0,20428.0,20428.0,20428.0,0.0,0.0,nan
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,141,141,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,46.74599542334096,52.15422885572139,43.0,50.0,correlation,5,13,0.6860412087923989,437,10483,201,20428,4,0.005,EXP,32.0,36.0,60.0,66.0,20.181488078931906,21.976493423913347,-0.03409871732649276
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,82,82,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,28.93484419263456,31.892857142857142,28.0,30.0,correlation,4,7,0.655898618413671,706,8930,280,20428,4,0.01,EXP,21.0,23.0,35.0,39.0,11.512587201372613,12.767534960970023,-0.039735876118988586
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,74,74,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,21.894962486602356,23.68059701492537,21.0,23.0,correlation,4,5,0.6359692005280605,933,7933,335,20428,4,0.015,EXP,16.0,17.0,26.0,28.0,8.4559070928431,9.36440129340214,-0.03299609663434897
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,44,44,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,18.045936395759718,19.848238482384822,17.0,19.0,correlation,3,3,0.6210464650725155,1132,7324,369,20428,4,0.02,EXP,13.0,14.0,22.0,24.0,6.8898201207511836,7.691811250394138,-0.03239536080211756
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,36,36,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,15.811145510835914,17.36317135549872,15.0,17.0,correlation,3,4,0.610319235620815,1292,6789,391,20428,4,0.025,EXP,12.0,13.0,19.0,22.0,5.729582102710969,6.37298278952634,-0.025214905556723153
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,38,38,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,14.07856650585803,15.292857142857143,14.0,14.0,correlation,3,3,0.5994799138892372,1451,6423,420,20428,4,0.03,EXP,10.0,11.0,17.0,19.0,5.135989649029292,5.981116827432929,-0.01878658858052639
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,40,40,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,12.743605739238927,13.938215102974828,12.0,13.0,correlation,3,3,0.5902882427697478,1603,6091,437,20428,4,0.035,EXP,10.0,10.0,15.0,17.0,4.581392697755377,5.389907469981874,-0.01765582993254741
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,37,37,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,11.760506620610247,12.692307692307692,11.0,12.0,correlation,3,3,0.582266229074546,1737,5940,468,20428,4,0.04,EXP,9.0,10.0,14.0,15.0,4.202445401686834,4.729361891981354,-0.012141791628902927
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,27,27,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,10.965110037573806,12.132231404958677,11.0,12.0,correlation,2,3,0.5754228415214184,1863,5872,484,20428,4,0.045,EXP,8.0,9.0,13.0,14.0,3.9556540828283255,4.249826732025303,-0.010172287210540386
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,24,24,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,10.327603640040445,11.39714867617108,10.0,11.0,correlation,2,3,0.5690708516344364,1978,5596,491,20428,4,0.05,EXP,8.0,9.0,12.0,14.0,3.657458606556237,4.002940876173391,-0.006145873282823713
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,24,24,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,9.878143133462283,10.885771543086172,10.0,11.0,correlation,2,3,0.5641247455546802,2068,5432,499,20428,4,0.055,EXP,7.0,8.0,12.0,13.0,3.4408016635415106,3.76048673403664,-0.0032187659494274223
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,23,23,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,9.298133818843878,10.317365269461078,9.0,10.0,correlation,2,3,0.5576612746704044,2197,5169,501,20428,4,0.06,EXP,7.0,8.0,11.0,13.0,3.2586653045351253,3.5485058906811724,-0.0009324869103455797
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,21,20,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.963580517770952,9.972495088408644,9.0,10.0,correlation,2,3,0.5529928546390606,2279,5076,509,20428,4,0.065,EXP,7.0,8.0,11.0,12.0,3.1483697685688057,3.289446998280188,0.0031383182305616177
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,21,21,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.565199161425577,9.601167315175097,8.0,9.0,correlation,2,2,0.5470142227581554,2385,4935,514,20428,4,0.07,EXP,6.0,7.0,10.0,12.0,2.9763647244437874,3.1920497359459667,0.005111999258496763
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,21,21,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.280502634779085,9.28679245283019,8.0,9.0,correlation,2,3,0.5441712389515759,2467,4922,530,20428,4,0.075,EXP,6.0,7.0,10.0,11.0,2.9272971451314884,3.0740568571023137,0.00943629538693574
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,20,20,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.080696202531646,8.936448598130841,8.0,9.0,correlation,2,3,0.5396220876956795,2528,4781,535,20428,4,0.08,EXP,6.0,7.0,10.0,11.0,2.807197038240203,3.0269318392569367,0.006903419995288241
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,20,20,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,7.668168168168168,8.662264150943397,7.0,8.0,correlation,2,3,0.5350158145861797,2664,4591,530,20428,4,0.085,EXP,6.0,7.0,9.0,10.0,2.7420825597549503,2.8958478026757577,0.012166416097520286
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,19,18,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,7.521354933726068,8.449626865671641,7.0,8.0,correlation,2,2,0.5313271702399068,2716,4529,536,20428,4,0.09,EXP,6.0,6.0,9.0,10.0,2.620425139893603,2.8854498360382497,0.012901560149633028
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,17,17,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,7.3297452457839976,8.191564147627416,7.0,8.0,correlation,2,2,0.5276206932614309,2787,4661,569,20428,4,0.095,EXP,6.0,6.0,9.0,10.0,2.4907409536983236,2.662015406500112,0.016122288177312448
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,18,18,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,7.053867403314917,8.019538188277087,7.0,8.0,correlation,2,2,0.5233555001978207,2896,4515,563,20428,4,0.1,EXP,5.0,6.0,9.0,10.0,2.486121469341084,2.6322177534975375,0.02158529574364853
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,16,16,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.903683676917877,7.864285714285714,7.0,8.0,correlation,2,2,0.5202631090823192,2959,4404,560,20428,4,0.105,EXP,5.0,6.0,8.0,10.0,2.379899907863848,2.58003519988644,0.02322118418958749
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,19,19,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.775456053067994,7.733800350262697,7.0,8.0,correlation,2,2,0.516673709939397,3015,4416,571,20428,4,0.11,EXP,5.0,6.0,8.0,9.0,2.3169276668844176,2.576852929725706,0.024437014712767574
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,18,18,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.579066022544284,7.470383275261324,6.0,7.0,correlation,2,2,0.5136421816931074,3105,4288,574,20428,4,0.115,EXP,5.0,6.0,8.0,9.0,2.2668115392368176,2.4865479603304297,0.026142462434583135
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,16,15,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.446197538655728,7.2272727272727275,6.0,7.0,correlation,2,2,0.5096634487910462,3169,4134,572,20428,4,0.12,EXP,5.0,6.0,8.0,9.0,2.1898728931632183,2.4086290624720257,0.026638912514423404
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,15,15,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.29328404189772,7.147260273972603,6.0,7.0,correlation,2,2,0.5073673186376791,3246,4174,584,20428,4,0.125,EXP,5.0,5.75,8.0,9.0,2.1750839101181,2.332518634187689,0.029765171688602012
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,16,15,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,6.154865923470925,6.98135593220339,6.0,7.0,correlation,2,2,0.5035931490330059,3319,4119,590,20428,4,0.13,EXP,5.0,5.0,8.0,8.0,2.120105544290706,2.3328148833741453,0.031154227219221838
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,15,14,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.987104337631887,6.742043551088777,6.0,6.0,correlation,2,2,0.4995329587648035,3412,4025,597,20428,4,0.135,EXP,5.0,5.0,7.0,8.0,2.049463987258403,2.250730276748597,0.03583517234833006
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,15,14,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.91087962962963,6.727118644067796,6.0,6.0,correlation,2,2,0.49735910689184243,3456,3969,590,20428,4,0.14,EXP,5.0,5.0,7.0,8.0,1.9975788966831665,2.2220261412423263,0.037059475952513084
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,15,15,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.775515973989257,6.4933554817275745,6.0,6.0,correlation,2,2,0.49348127217054616,3537,3909,602,20428,4,0.145,EXP,4.0,5.0,7.0,8.0,1.9548016669389818,2.1652930647736794,0.037832176478159896
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,15,13,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.717324377273999,6.449419568822554,6.0,6.0,correlation,1,2,0.49130583514654935,3573,3889,603,20428,4,0.15,EXP,4.0,5.0,7.0,8.0,1.9283628178597183,2.0865228507531146,0.03826366251647181
leiden_cpm,2024-09-15 22:00:11.226091,baseline,umap_fuzzy_simplicial_set,15,13,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,5.6322029225255035,6.351882160392798,5.0,6.0,correlation,2,2,0.4893376537679139,3627,3881,611,20428,4,0.155,EXP,4.0,5.0,7.0,8.0,1.9021673458724966,2.0184684668688635,0.03838716051445928
