clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,20428,20428,1.0,1.0,1.0,1.0,1.0,20428.0,20428.0,20428.0,20428.0,euclidean,20428,20428,0.0,1,20428,1,20428,10,0.0,EXP,20428.0,20428.0,20428.0,20428.0,0.0,0.0,nan
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,268,268,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,105.29896907216495,116.45161290322581,102.5,112.0,euclidean,8,8,0.5786756925083619,194,14440,124,20428,10,0.005,EXP,63.0,78.5,142.0,151.25,53.985329230570265,55.00518374966151,0.033430325607342035
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,147,147,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,55.06199460916442,64.48421052631579,50.0,61.0,euclidean,6,14,0.5224757701020567,371,12252,190,20428,10,0.01,EXP,34.0,42.0,71.5,86.0,27.953830539724546,28.964356737528917,0.027496492860917345
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,118,118,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,39.20921305182342,45.21338912133891,36.0,42.0,euclidean,4,13,0.4886852706132074,521,10806,239,20428,10,0.015,EXP,26.0,30.0,50.0,56.5,18.508606483688734,19.694329106981726,0.030317023614209182
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,90,90,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,31.52469135802469,37.11244979919679,28.0,33.0,euclidean,2,8,0.4694090136007872,648,9241,249,20428,10,0.02,EXP,21.0,25.0,40.0,47.0,15.041999069799573,16.482295650245398,0.030933096584313504
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,78,78,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,27.056953642384105,31.303249097472925,25.0,29.0,euclidean,4,4,0.45382041106027277,755,8671,277,20428,10,0.025,EXP,18.0,22.0,33.5,41.0,12.634366618820989,14.200794084144059,0.030845952071477025
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,78,78,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,23.082485875706215,26.544025157232703,21.0,25.0,euclidean,4,5,0.43762564704571694,885,8441,318,20428,10,0.03,EXP,15.0,17.0,29.0,33.0,11.194882735881581,12.55589811637547,0.03365085932659414
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,67,67,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,20.225742574257424,23.407185628742514,19.0,22.0,euclidean,2,2,0.4237708231234181,1010,7818,334,20428,10,0.035,EXP,13.0,16.0,25.0,29.0,9.564089740659869,10.621780633012593,0.035760051770552435
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,57,57,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,18.706959706959708,22.300291545189506,17.0,21.0,euclidean,3,4,0.41480284346292606,1092,7649,343,20428,10,0.04,EXP,12.75,15.5,23.0,28.0,8.698881401827773,9.821448233129926,0.03753639006620306
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,50,50,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,16.980881130507065,19.863636363636363,16.0,19.0,euclidean,2,2,0.40362487656364837,1203,7429,374,20428,10,0.045,EXP,11.0,14.0,21.0,24.75,7.694097459462813,8.744141729429261,0.040367566893181765
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,50,50,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,15.629686304514154,18.615577889447238,14.0,18.0,euclidean,2,4,0.3948717030990656,1307,7409,398,20428,10,0.05,EXP,10.0,13.0,19.0,23.0,7.097353848702994,7.960357719211027,0.040676842989339816
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,49,49,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,14.717579250720462,17.53157894736842,14.0,17.0,euclidean,2,3,0.38708833786302993,1388,6662,380,20428,10,0.055,EXP,10.0,12.0,18.0,21.0,6.5648664837733905,7.43721457703218,0.04144252789627916
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,42,42,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,13.746971736204577,16.318072289156625,13.0,15.0,euclidean,2,4,0.3798457145014267,1486,6772,415,20428,10,0.06,EXP,9.0,11.0,17.0,20.0,6.178200581984488,6.935158280840925,0.042552425903808276
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,44,44,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,12.920936116382038,15.244075829383887,12.0,14.0,euclidean,2,4,0.37191228617434857,1581,6433,422,20428,10,0.065,EXP,9.0,10.0,16.0,19.0,5.723500221425713,6.773215332975657,0.044214014344529574
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,39,39,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,12.395631067961165,14.736961451247165,12.0,14.0,euclidean,2,3,0.3673070827767342,1648,6499,441,20428,10,0.07,EXP,9.0,10.0,15.0,18.0,5.5168568105192515,6.37090316154249,0.04457098295318987
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,40,40,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,11.904428904428904,14.178260869565218,11.0,13.0,euclidean,2,3,0.3609104032428587,1716,6522,460,20428,10,0.075,EXP,8.0,10.0,15.0,18.0,5.154395138385727,5.922209966597673,0.0457135033023996
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,40,40,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,11.279955825510768,13.458333333333334,10.0,13.0,euclidean,2,2,0.3549116748561803,1811,6137,456,20428,10,0.08,EXP,8.0,9.0,14.0,17.0,4.906472719021191,5.839446984250421,0.04716746976972977
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,33,33,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,10.768581971534001,12.933760683760683,10.0,12.0,euclidean,2,3,0.34933689106973653,1897,6053,468,20428,10,0.085,EXP,7.0,9.0,13.0,16.0,4.693303672231364,5.366273791399969,0.04941279265397318
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,37,37,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,10.449104859335039,12.460385438972162,10.0,12.0,euclidean,2,3,0.345642420794748,1955,5819,467,20428,10,0.09,EXP,7.0,9.0,13.0,15.5,4.53323537706674,5.064047422451033,0.05016335631506076
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,38,38,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,10.168242906918865,12.237006237006238,9.0,11.0,euclidean,2,3,0.3426651443788517,2009,5886,481,20428,10,0.095,EXP,7.0,8.0,12.0,15.0,4.408978457540359,5.192946857660799,0.05197777298960983
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,35,35,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,9.797601918465228,11.768267223382045,9.0,11.0,euclidean,2,2,0.33831644539632283,2085,5637,479,20428,10,0.1,EXP,7.0,8.0,12.0,15.0,4.268707620908473,4.955180680647374,0.052133662951413216
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,35,35,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,9.496978149697815,11.27366255144033,9.0,10.0,euclidean,2,2,0.3337572886905043,2151,5479,486,20428,10,0.105,EXP,7.0,8.0,12.0,14.0,4.120326994442446,4.884805298034786,0.05349531642081351
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,35,35,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,9.193519351935194,10.899408284023668,9.0,10.0,euclidean,2,2,0.33042062651160486,2222,5526,507,20428,10,0.11,EXP,6.0,8.0,11.0,13.0,3.9926116891341388,4.791484438174938,0.05419051904320556
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,30,28,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,8.877879182963929,10.587332053742802,8.0,10.0,euclidean,1,2,0.3262988458553817,2301,5516,521,20428,10,0.115,EXP,6.0,7.0,11.0,13.0,3.8729656195626307,4.438592830815116,0.05533328448298162
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,28,28,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,8.594026083298274,10.152380952380952,8.0,9.0,euclidean,1,2,0.32112099281043394,2377,5330,525,20428,10,0.12,EXP,6.0,7.0,11.0,12.0,3.719963718569416,4.271680727281437,0.05568268823007833
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,27,27,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.434351775392237,10.101145038167939,8.0,9.0,euclidean,1,2,0.3184406482586133,2422,5293,524,20428,10,0.125,EXP,6.0,7.0,10.0,12.0,3.600111357822575,4.1895998353650254,0.056243431512827964
leiden_cpm,2024-09-17 15:42:50.387821,baseline,umap_fuzzy_simplicial_set,29,29,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.253737373737374,9.836158192090396,8.0,9.0,euclidean,1,2,0.3156567475489583,2475,5223,531,20428,10,0.13,EXP,6.0,7.0,10.0,12.0,3.5394830946752793,4.145368336972589,0.0566518147747988
