clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,20428,20428,1.0,1.0,1.0,1.0,1.0,20428.0,20428.0,20428.0,20428.0,manhattan,20428,20428,0.0,1,20428,1,20428,4,0.0,EXP,20428.0,20428.0,20428.0,20428.0,0.0,0.0,nan
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,115,115,1.0,0.6666666666666666,1.0,0.5,0.3333333333333333,46.533029612756266,50.766666666666666,42.0,47.5,manhattan,3,10,0.6702998985187116,439,10661,210,20428,4,0.005,EXP,32.0,35.0,57.5,65.0,20.447792907426468,21.704680937603634,-0.011447463629405377
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,82,71,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,28.332871012482663,32.064,27.0,30.0,manhattan,3,9,0.6387641148809707,721,8016,250,20428,4,0.01,EXP,20.0,23.0,34.0,38.75,11.793537744628892,13.122343693106044,-0.011640751520153987
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,59,59,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,21.368200836820083,23.25077399380805,20.0,22.0,manhattan,3,7,0.6177871513429395,956,7510,323,20428,4,0.015,EXP,16.0,16.0,26.0,28.0,8.347724949096811,9.382924895078938,-0.00961399405884169
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,47,47,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,17.82547993019197,19.535211267605632,17.0,19.0,manhattan,3,4,0.6039073036530366,1146,6935,355,20428,4,0.02,EXP,13.0,14.0,22.0,23.0,6.63424244075284,7.688716785032235,-0.006502919577549069
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,50,50,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,15.405731523378583,17.313157894736843,15.0,16.0,manhattan,3,4,0.5924178349638123,1326,6579,380,20428,4,0.025,EXP,11.0,13.0,19.0,21.0,5.778576210184455,6.756621354861022,-0.003315539309648864
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,38,38,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,13.728494623655914,15.201474201474202,13.0,14.0,manhattan,3,4,0.5809186284085409,1488,6187,407,20428,4,0.03,EXP,10.0,11.0,17.0,18.0,4.9557390313398555,5.750649811691322,0.0007503469321664185
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,37,37,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,12.64891640866873,13.889140271493213,12.0,13.0,manhattan,3,4,0.5741942716645129,1615,6139,442,20428,4,0.035,EXP,10.0,10.0,15.0,17.0,4.4881636976511246,5.0427062765130035,0.001068048303361402
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,36,36,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,11.573937677053824,12.72787610619469,11.0,12.0,manhattan,3,4,0.5667101099935424,1765,5753,452,20428,4,0.04,EXP,9.0,10.0,14.0,15.0,4.149173174956175,4.555830835766332,0.00690950300261649
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,29,29,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,10.75724065297525,11.927536231884059,10.0,11.0,manhattan,2,4,0.5580111092113043,1899,5761,483,20428,4,0.045,EXP,8.0,9.0,13.0,14.0,3.7428596539495778,4.114425405122654,0.007833198699371133
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,29,29,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,10.117880138682516,11.153535353535354,10.0,11.0,manhattan,2,4,0.5527114770094125,2019,5521,495,20428,4,0.05,EXP,8.0,9.0,12.0,13.0,3.5588830553672133,3.8707218320715557,0.010636670090711842
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,29,29,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,9.686107159791371,10.836653386454183,9.0,10.5,manhattan,3,3,0.5472170798889111,2109,5440,502,20428,4,0.055,EXP,7.0,8.0,12.0,13.0,3.3598896815599684,3.633236782444718,0.012091654472583238
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,23,23,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,9.083148065807025,10.122605363984674,9.0,10.0,manhattan,2,2,0.5403959727058399,2249,5284,522,20428,4,0.06,EXP,7.0,8.0,11.0,12.0,3.1710851344697724,3.391490720027482,0.01273729475632731
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,22,22,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.77868500214869,9.846299810246679,8.0,10.0,manhattan,2,3,0.5361248383772885,2327,5189,527,20428,4,0.065,EXP,7.0,8.0,10.0,12.0,2.9915381863326522,3.3284896041355863,0.014963665814963755
leiden_cpm,2024-08-08 12:45:00.866874,baseline,umap_fuzzy_simplicial_set,22,22,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,8.455298013245033,9.5561797752809,8.0,9.0,manhattan,2,3,0.531604694794389,2416,5103,534,20428,4,0.07,EXP,6.0,7.0,10.0,12.0,2.821626816451913,3.2226418683861855,0.015034164719480547
