clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,56,53,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.18974358974359,28.023809523809526,25.0,25.5,manhattan,3,15,0.6567970031218402,780,1177,42,20428,3,0.005,TNC,22.0,23.0,29.25,30.0,6.491208842884821,7.284975063650152,-0.06239874059931884
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,50,42,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.392764857881136,26.2972972972973,26.0,26.0,manhattan,3,15,0.6581576344542797,774,973,37,20428,3,0.005,TNC,22.0,23.0,30.0,28.0,6.591494743218425,5.994884598059144,-0.05769375651948307
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,47,40,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.66840731070496,25.69047619047619,26.0,25.0,manhattan,12,15,0.6560184818230201,766,1079,42,20428,3,0.005,TNC,23.0,22.25,30.0,28.0,6.081665235158164,5.595440725814168,-0.056513943409110166
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,52,42,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.426908150064683,27.060606060606062,25.0,25.0,manhattan,3,15,0.6571123919240431,773,893,33,20428,3,0.005,TNC,22.0,22.0,30.0,33.0,6.72266351977412,6.759681693866029,-0.05890980201651371
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,50,44,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.122762148337596,25.83783783783784,25.0,25.0,manhattan,3,16,0.6575495120185604,782,956,37,20428,3,0.005,TNC,22.0,21.0,29.0,28.0,6.542230982809238,5.837962961622059,-0.057436593075868285
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,59,42,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.52987012987013,26.375,25.0,25.0,manhattan,3,15,0.6589653588849784,770,1055,40,20428,3,0.005,TNC,22.0,23.0,30.0,30.0,6.766592208268789,5.786568499551353,-0.057719334204967034
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,52,35,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.46113989637306,26.93548387096774,26.0,27.0,manhattan,3,17,0.6595981827688431,772,835,31,20428,3,0.005,TNC,22.0,24.0,30.0,30.5,6.560384541531129,3.901492550384736,-0.06203356122008454
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,54,47,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.25706940874036,25.78787878787879,25.0,24.0,manhattan,3,13,0.6566196960323684,778,851,33,20428,3,0.005,TNC,22.0,21.0,29.0,31.0,6.467496954889607,7.690046994211831,-0.05717672930752343
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,68,44,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.358709677419355,26.833333333333332,25.0,27.0,manhattan,3,11,0.657183326130292,775,1127,42,20428,3,0.005,TNC,22.0,22.25,30.0,31.75,6.596605061322653,7.080881928749334,-0.05825316841118722
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,57,52,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.122762148337596,30.73913043478261,25.0,29.0,manhattan,3,15,0.6571107716880181,782,1414,46,20428,3,0.005,TNC,22.0,26.0,30.0,35.75,6.51186354241925,7.414541478123434,-0.05896419130148087
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,58,58,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.426908150064683,26.48780487804878,25.0,25.0,manhattan,3,16,0.6569493472327613,773,1086,41,20428,3,0.005,TNC,22.0,21.0,30.0,29.0,6.720738916137549,7.499990085260152,-0.05894601305150678
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,63,42,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.29086229086229,27.806451612903224,25.0,27.0,manhattan,3,15,0.6538544034613297,777,862,31,20428,3,0.005,TNC,22.0,23.0,30.0,33.0,6.514044338590954,6.387585514047667,-0.059817965939979484
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,57,50,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,25.95679796696315,25.81578947368421,25.0,24.5,manhattan,3,16,0.656366415554699,787,981,38,20428,3,0.005,TNC,22.0,22.0,29.0,29.0,6.23945424205717,6.1637960926257245,-0.056776168076823015
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,54,43,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.18974358974359,25.952380952380953,25.0,25.0,manhattan,3,15,0.6586677931019427,780,1090,42,20428,3,0.005,TNC,22.0,22.0,29.0,29.0,6.360527105709,5.963988681891711,-0.06217494458532269
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,52,47,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,25.89100126742712,25.77777777777778,25.0,25.0,manhattan,13,14,0.65383223735036,789,928,36,20428,3,0.005,TNC,22.0,22.0,29.0,28.25,5.882308560743875,5.954042096252815,-0.05630958950199433
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,54,50,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.156209987195904,28.551724137931036,25.0,28.0,manhattan,3,16,0.6580522297205438,781,828,29,20428,3,0.005,TNC,22.0,24.0,30.0,32.0,6.686212080590565,6.970807141196936,-0.06079425682150031
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,48,46,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.49546044098573,26.513513513513512,26.0,26.0,manhattan,3,15,0.6547320448785742,771,981,37,20428,3,0.005,TNC,23.0,22.0,30.0,29.0,6.208309367536342,6.386732961811778,-0.05678630196760812
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,55,50,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.08939974457216,26.487179487179485,25.0,26.0,manhattan,11,14,0.6562356076317406,783,1033,39,20428,3,0.005,TNC,22.0,21.0,29.0,31.5,6.557900290257572,7.689059143110155,-0.05847661394090185
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,53,51,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.25706940874036,27.923076923076923,25.0,25.0,manhattan,12,20,0.6575049427580086,778,1089,39,20428,3,0.005,TNC,22.0,23.5,29.0,30.5,6.3784447941964455,7.4571755682444065,-0.05561474202149562
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,50,44,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.08939974457216,27.47222222222222,25.0,26.0,manhattan,10,15,0.6582545808705309,783,989,36,20428,3,0.005,TNC,22.0,24.0,29.0,31.0,6.3107828031558695,6.039159760867728,-0.05684103688515584
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,52,47,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.46113989637306,25.282608695652176,26.0,25.0,manhattan,3,15,0.6585067518492959,772,1163,46,20428,3,0.005,TNC,23.0,20.0,30.0,28.0,6.255757368619758,6.901994177735128,-0.05974959990083191
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,52,43,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.426908150064683,26.634146341463413,25.0,26.0,manhattan,12,14,0.6538070166140848,773,1092,41,20428,3,0.005,TNC,22.0,22.0,30.0,31.0,6.1651610902236005,6.599172518566528,-0.05632963601480821
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,60,40,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.358709677419355,26.80851063829787,26.0,27.0,manhattan,3,16,0.6560427882377348,775,1260,47,20428,3,0.005,TNC,22.0,22.5,30.0,31.0,6.818596838880905,5.549154805769746,-0.05913307408614197
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,53,39,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,25.989821882951652,25.653846153846153,25.0,24.0,manhattan,3,17,0.6560356630293774,786,667,26,20428,3,0.005,TNC,22.0,22.0,29.0,28.75,6.32776491931604,5.136163696261335,-0.05928877184629462
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,53,53,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.08939974457216,27.0,25.0,26.0,manhattan,3,15,0.658355588198251,783,972,36,20428,3,0.005,TNC,22.0,22.0,29.0,29.0,6.3269520198841125,7.272474743090476,-0.06196569387559493
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,56,44,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.156209987195904,26.565217391304348,25.0,26.0,manhattan,3,17,0.6568304189718533,781,1222,46,20428,3,0.005,TNC,22.0,23.0,29.0,29.75,6.124920484112363,5.519342170605052,-0.06002442698455091
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,52,48,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.324742268041238,27.925,25.0,26.5,manhattan,3,16,0.6556875745659811,776,1117,40,20428,3,0.005,TNC,22.0,23.0,29.0,31.25,6.536787743665782,7.188141275740204,-0.05834287764086826
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,47,41,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.358709677419355,26.37837837837838,25.0,25.0,manhattan,12,19,0.6540968423457575,775,976,37,20428,3,0.005,TNC,22.0,22.0,30.0,29.0,6.354909578776277,5.344111947319073,-0.0579094645592685
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,58,41,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.122762148337596,26.613636363636363,25.0,26.0,manhattan,3,17,0.6539456106778327,782,1171,44,20428,3,0.005,TNC,22.0,23.0,30.0,29.0,6.444749923596547,5.175185148602322,-0.0587248944712316
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,61,39,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.056122448979593,26.2972972972973,25.0,24.0,manhattan,10,16,0.6568782339209939,784,973,37,20428,3,0.005,TNC,22.0,21.0,29.0,31.0,6.404471752922784,6.400442826170215,-0.054297395012467914
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,56,48,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.426908150064683,28.46875,26.0,27.5,manhattan,3,16,0.6590043255870329,773,911,32,20428,3,0.005,TNC,22.0,25.0,29.0,31.0,6.668952635181615,7.5414868187579565,-0.05943835192139438
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,53,40,1.0,0.6666666666666666,1.0,0.5,0.16666666666666666,26.598958333333332,26.53125,25.0,25.0,manhattan,11,16,0.6573721850244691,768,849,32,20428,3,0.005,TNC,22.0,22.75,30.0,30.5,6.89603592036255,6.077542549213456,-0.05742185291584955
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,51,51,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.52987012987013,27.29032258064516,25.0,26.0,manhattan,12,14,0.6572826510173849,770,846,31,20428,3,0.005,TNC,22.0,23.0,30.0,30.5,6.524062652184393,7.436585881529311,-0.05712690942533818
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,50,43,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.122762148337596,26.862745098039216,25.0,26.0,manhattan,11,17,0.6553455956938182,782,1370,51,20428,3,0.005,TNC,22.0,23.0,29.75,29.5,6.423682887055693,6.0586014300303805,-0.05722798870823901
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,48,43,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.324742268041238,27.676470588235293,25.0,25.5,manhattan,12,17,0.6568816203405083,776,941,34,20428,3,0.005,TNC,22.0,22.0,30.0,33.0,6.545062370093932,7.24658373156253,-0.0567246184730919
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,51,42,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.122762148337596,27.63888888888889,25.0,28.0,manhattan,12,14,0.6535830621213701,782,995,36,20428,3,0.005,TNC,22.0,24.0,30.0,29.0,6.136784277680968,6.028417784763621,-0.056905311919731034
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,50,49,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,25.89100126742712,27.216216216216218,25.0,26.0,manhattan,3,16,0.6558975095721647,789,1007,37,20428,3,0.005,TNC,21.0,22.0,29.0,33.0,6.497208731769429,7.241528639336562,-0.05916573282837567
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,57,36,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.392764857881136,25.2,26.0,25.0,manhattan,3,16,0.6586374860756671,774,756,30,20428,3,0.005,TNC,22.0,22.25,30.0,27.0,6.290203971173888,4.4075692469508265,-0.057901801421943025
leiden_cpm,2024-08-09 02:20:50.230342,baseline,umap_fuzzy_simplicial_set,53,49,1.0,0.3333333333333333,1.0,0.5,0.16666666666666666,26.392764857881136,26.525,25.0,25.0,manhattan,10,13,0.6560435279310215,774,1061,40,20428,3,0.005,TNC,22.0,22.0,30.0,30.0,6.612043615958194,7.137883089544126,-0.05861262227030742
