clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-09-17 10:38:01.935044,baseline,umap_fuzzy_simplicial_set,23113,23113,1.0,1.0,1.0,1.0,1.0,23113.0,23113.0,23113.0,23113.0,angular,23113,23113,0.0,1,23113,1,23113,9,0.0,EXP,23113.0,23113.0,23113.0,23113.0,0.0,0.0,nan
leiden_cpm,2024-09-17 10:38:01.935044,baseline,umap_fuzzy_simplicial_set,233,233,1.0,0.5,0.5,0.5,0.3333333333333333,97.9364406779661,110.21186440677967,98.0,112.5,angular,8,24,0.6311720880566823,236,13005,118,23113,9,0.005,EXP,69.75,85.0,127.5,135.75,39.977538535172805,38.98931876655348,0.036695002852856776
leiden_cpm,2024-09-17 10:38:01.935044,baseline,umap_fuzzy_simplicial_set,141,141,1.0,0.5,0.5,0.5,0.16666666666666666,54.1288056206089,61.04938271604938,52.0,57.5,angular,12,12,0.5845346453889966,427,9890,162,23113,9,0.01,EXP,38.0,47.0,68.0,77.5,21.858921495003955,22.681041865681298,0.039101761021617845
leiden_cpm,2024-09-17 10:38:01.935044,baseline,umap_fuzzy_simplicial_set,97,97,1.0,0.5,0.5,0.5,0.16666666666666666,39.17457627118644,44.05102040816327,36.5,42.0,angular,5,5,0.5585810860354371,590,8634,196,23113,9,0.015,EXP,27.0,29.0,49.0,56.25,16.352837241206892,17.930633033989167,0.04047247745635773
leiden_cpm,2024-09-17 10:38:01.935044,baseline,umap_fuzzy_simplicial_set,76,72,1.0,0.5,0.5,0.5,0.16666666666666666,31.360922659430123,34.75229357798165,30.0,34.0,angular,5,10,0.5349403507241639,737,7576,218,23113,9,0.02,EXP,22.0,25.0,40.0,44.0,12.296318550483646,12.228824396304283,0.041801391214288115
leiden_cpm,2024-09-17 10:38:01.935044,baseline,umap_fuzzy_simplicial_set,75,75,1.0,0.5,0.5,0.5,0.16666666666666666,26.445080091533182,29.429166666666667,25.0,28.0,angular,5,5,0.5192245296080028,874,7063,240,23113,9,0.025,EXP,18.0,22.0,33.0,37.0,10.593695711977901,10.93404389840384,0.04319956976102147
leiden_cpm,2024-09-17 10:38:01.935044,baseline,umap_fuzzy_simplicial_set,62,62,1.0,0.5,0.5,0.5,0.16666666666666666,23.229145728643218,26.94238683127572,22.0,26.0,angular,5,5,0.5054745305326128,995,6547,243,23113,9,0.03,EXP,16.0,21.0,29.0,33.0,9.103964279470715,9.331391644508395,0.04665666271097182
leiden_cpm,2024-09-17 10:38:01.935044,baseline,umap_fuzzy_simplicial_set,50,50,1.0,0.5,0.5,0.5,0.16666666666666666,20.36387665198238,23.409448818897637,20.0,23.0,angular,3,5,0.49130076390927196,1135,5946,254,23113,9,0.035,EXP,14.0,17.0,25.0,28.0,7.9652725848161685,8.536032317634199,0.05014390262708149
leiden_cpm,2024-09-17 10:38:01.935044,baseline,umap_fuzzy_simplicial_set,50,50,1.0,0.5,0.5,0.5,0.16666666666666666,18.60950080515298,21.45985401459854,18.0,21.0,angular,2,5,0.4820578100007141,1242,5880,274,23113,9,0.04,EXP,13.0,16.0,23.0,26.75,7.3576456827133505,7.764804177845962,0.0508279244471778
leiden_cpm,2024-09-17 10:38:01.935044,baseline,umap_fuzzy_simplicial_set,50,50,1.0,0.5,0.5,0.5,0.16666666666666666,17.248507462686568,19.894160583941606,17.0,20.0,angular,3,4,0.47321242150453025,1340,5451,274,23113,9,0.045,EXP,12.0,14.0,21.0,25.0,6.832988846639698,7.529002477750902,0.052761684057970604
