clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,23113,23113,1.0,1.0,1.0,1.0,1.0,23113.0,23113.0,23113.0,23113.0,correlation,23113,23113,0.0,1,23113,1,23113,11,0.0,EXP,23113.0,23113.0,23113.0,23113.0,0.0,0.0,nan
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,249,249,1.0,0.5,0.5,0.5,0.16666666666666666,111.1201923076923,125.25688073394495,111.5,119.0,correlation,10,28,0.6299183595620019,208,13653,109,23113,11,0.005,EXP,70.75,91.0,144.5,160.0,49.05520806626506,48.460028675816986,0.021761946073381305
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,150,147,1.0,0.5,0.5,0.5,0.16666666666666666,60.664041994750654,71.61392405063292,57.0,69.0,correlation,7,12,0.5791933219932345,381,11315,158,23113,11,0.01,EXP,40.0,52.0,81.0,89.0,27.773597111702525,26.614863241454394,0.02033260377128783
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,117,117,1.0,0.5,0.5,0.5,0.16666666666666666,44.0247619047619,52.87356321839081,42.0,50.5,correlation,7,12,0.5462595401511791,525,9200,174,23113,11,0.015,EXP,30.0,39.25,56.0,64.75,18.771644172616064,19.716265878128088,0.02528614997551614
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,85,84,1.0,0.5,0.5,0.5,0.16666666666666666,34.913897280966765,40.42,34.0,40.0,correlation,6,9,0.5232118206205217,662,8084,200,23113,11,0.02,EXP,24.25,29.0,44.0,48.25,14.574016326349009,15.207353484416675,0.026657516261006438
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,74,72,1.0,0.5,0.5,0.5,0.16666666666666666,29.29404309252218,33.85840707964602,28.0,33.0,correlation,4,8,0.5043789480885669,789,7652,226,23113,11,0.025,EXP,20.0,25.0,37.0,42.0,12.143720153507772,12.67836793092109,0.03950008036875596
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,65,65,1.0,0.5,0.5,0.5,0.16666666666666666,25.59579180509413,29.24901185770751,24.0,27.0,correlation,4,10,0.4883735087749903,903,7400,253,23113,11,0.03,EXP,19.0,21.0,32.0,36.0,10.279454290925374,10.756616173950496,0.040349465586800456
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,60,60,1.0,0.5,0.5,0.5,0.16666666666666666,22.83893280632411,26.18421052631579,22.0,26.0,correlation,3,3,0.4770146457621257,1012,6965,266,23113,11,0.035,EXP,16.0,18.0,29.0,33.0,9.346996835841978,9.797186508098928,0.04183853576895461
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,54,49,1.0,0.5,0.5,0.5,0.16666666666666666,20.673524150268335,23.403636363636362,20.0,23.0,correlation,3,5,0.46459961094779423,1118,6436,275,23113,11,0.04,EXP,15.0,17.0,26.0,29.0,8.232306679728032,8.35751080028375,0.04635461369197474
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,45,45,1.0,0.5,0.5,0.5,0.16666666666666666,19.054410552349548,22.194444444444443,18.0,21.0,correlation,3,3,0.4559404749638393,1213,6392,288,23113,11,0.045,EXP,13.0,16.0,24.0,28.0,7.7481167514022005,8.125985220419068,0.05025000682337456
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,46,46,1.0,0.5,0.5,0.5,0.16666666666666666,17.73829623944743,21.181818181818183,17.0,21.0,correlation,2,5,0.4464616818559635,1303,5825,275,23113,11,0.05,EXP,12.0,16.0,22.0,26.0,7.200971997665853,7.314471108925497,0.06038825501842579
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,43,43,1.0,0.5,0.5,0.5,0.16666666666666666,16.497501784439685,18.913333333333334,16.0,18.0,correlation,4,6,0.4367645348652448,1401,5674,300,23113,11,0.055,EXP,11.0,14.0,21.0,23.0,6.594735493451085,6.850242493680222,0.06361167323125264
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,42,42,1.0,0.5,0.5,0.5,0.16666666666666666,15.60634706279541,18.251748251748253,15.0,18.0,correlation,3,5,0.4303275804230862,1481,5220,286,23113,11,0.06,EXP,11.0,14.0,19.0,23.0,6.356795230515723,6.68572064776711,0.06764806776069149
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,39,39,1.0,0.5,0.5,0.5,0.16666666666666666,14.7029262086514,17.45514950166113,14.0,17.0,correlation,3,5,0.4230211970452683,1572,5254,301,23113,11,0.065,EXP,10.0,13.0,18.0,22.0,6.012723285673179,6.280445981125489,0.07193930467618831
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,32,32,1.0,0.5,0.5,0.5,0.16666666666666666,13.940289505428227,16.2320819112628,13.0,16.0,correlation,2,3,0.41518363333427427,1658,4756,293,23113,11,0.07,EXP,10.0,12.0,17.0,21.0,5.53730024519628,5.798734247560981,0.07385784712787737
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,41,41,1.0,0.5,0.5,0.5,0.16666666666666666,13.245272206303724,15.683006535947712,13.0,15.0,correlation,2,3,0.4089574915234959,1745,4799,306,23113,11,0.075,EXP,9.0,12.0,17.0,19.0,5.358175260093758,5.589512715671205,0.07771225973574847
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,31,30,1.0,0.5,0.5,0.5,0.16666666666666666,12.769613259668509,14.833876221498372,12.0,14.0,correlation,2,4,0.40300834311529116,1810,4554,307,23113,11,0.08,EXP,9.0,11.0,16.0,18.0,5.006566336349311,5.1208609844892194,0.08186965378553758
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,31,31,1.0,0.5,0.5,0.5,0.16666666666666666,12.235574377977766,14.40952380952381,12.0,14.0,correlation,2,4,0.3975552633271663,1889,4539,315,23113,11,0.085,EXP,9.0,11.0,15.0,17.0,4.857316682931509,4.948679935758218,0.08738070496505347
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,29,29,1.0,0.5,0.5,0.5,0.16666666666666666,11.822506393861893,13.887096774193548,11.0,13.0,correlation,2,3,0.3920216475484476,1955,4305,310,23113,11,0.09,EXP,8.0,11.0,15.0,17.0,4.6923461496426855,4.885478279850687,0.08960441587773206
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,27,27,1.0,0.5,0.5,0.5,0.16666666666666666,11.402565367538234,13.371517027863778,11.0,13.0,correlation,2,3,0.38653238780635263,2027,4319,323,23113,11,0.095,EXP,8.0,10.0,14.0,16.0,4.483016609176167,4.643787406386758,0.0919264210776777
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,29,29,1.0,0.5,0.5,0.5,0.16666666666666666,10.938476100331282,12.897590361445783,11.0,12.0,correlation,2,2,0.3811255188229288,2113,4282,332,23113,11,0.1,EXP,8.0,10.0,14.0,16.0,4.318375637465778,4.640873305425988,0.09872670270137585
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,25,25,1.0,0.5,0.5,0.5,0.16666666666666666,10.534639927073838,12.37699680511182,10.0,12.0,correlation,2,2,0.37579162932155297,2194,3874,313,23113,11,0.105,EXP,7.0,9.0,13.0,15.0,4.176695959311377,4.255240849457379,0.09951360453446206
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,27,23,1.0,0.5,0.5,0.5,0.16666666666666666,10.222467934542237,12.059006211180124,10.0,12.0,correlation,2,2,0.37194941936163883,2261,3883,322,23113,11,0.11,EXP,7.0,9.0,13.0,15.0,4.090263010423463,4.063119568421611,0.10441485528224638
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,26,23,1.0,0.5,0.5,0.5,0.16666666666666666,9.91123499142367,11.617391304347827,9.0,11.0,correlation,2,2,0.3678719752519843,2332,4008,345,23113,11,0.115,EXP,7.0,9.0,12.0,14.0,3.9568115294946744,3.932582457992444,0.10831726185300723
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,24,24,1.0,0.5,0.5,0.5,0.16666666666666666,9.63443101292205,11.214285714285714,9.0,11.0,correlation,2,2,0.36321393482692255,2399,3768,336,23113,11,0.12,EXP,7.0,8.0,12.0,14.0,3.843239003126562,3.9341951090995195,0.10942791099642202
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,25,23,1.0,0.5,0.5,0.5,0.16666666666666666,9.426182707993474,11.120845921450151,9.0,11.0,correlation,1,2,0.3597051275254889,2452,3681,331,23113,11,0.125,EXP,7.0,8.0,12.0,14.0,3.7608808467068937,3.8527136288030723,0.11172931031315082
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,24,21,1.0,0.5,0.5,0.5,0.16666666666666666,9.168187227290758,10.810344827586206,9.0,11.0,correlation,1,2,0.35508725083314774,2521,3762,348,23113,11,0.13,EXP,7.0,8.0,11.0,13.0,3.6370808686899183,3.717573503598436,0.11294985503554159
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,23,22,1.0,0.5,0.5,0.5,0.16666666666666666,8.896458814472672,10.479289940828401,8.5,10.0,correlation,2,2,0.3509417926526211,2598,3542,338,23113,11,0.135,EXP,6.0,8.0,11.0,13.0,3.542285387485683,3.755215319973845,0.11643935023208596
leiden_cpm,2024-09-15 22:05:08.887245,baseline,umap_fuzzy_simplicial_set,23,21,1.0,0.5,0.5,0.5,0.16666666666666666,8.741679273827534,10.116402116402117,8.0,10.0,correlation,2,2,0.3478871326468996,2644,3824,378,23113,11,0.14,EXP,6.0,7.0,11.0,12.0,3.4579036910343617,3.7171411565859236,0.11846904446033912
