clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,23113,23113,1.0,1.0,1.0,1.0,1.0,23113.0,23113.0,23113.0,23113.0,euclidean,23113,23113,1.1102230246251565e-16,1,23113,1,23113,11,0.0,EXP,23113.0,23113.0,23113.0,23113.0,0.0,0.0,nan
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,235,235,1.0,0.5,0.5,0.5,0.16666666666666666,114.99004975124379,131.3490566037736,117.0,129.0,euclidean,4,24,0.6094975807175461,201,13923,106,23113,11,0.005,EXP,82.0,110.25,142.0,156.25,45.69289547634786,44.011371269216276,0.039217339562028934
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,143,143,1.0,0.5,0.5,0.5,0.16666666666666666,63.323287671232876,72.29559748427673,63.0,71.0,euclidean,13,20,0.5564957992642695,365,11495,159,23113,11,0.01,EXP,43.0,53.0,80.0,89.5,25.451423086664985,26.484492545595987,0.035014087321641095
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,103,103,1.0,0.5,0.5,0.5,0.16666666666666666,43.77462121212121,50.741573033707866,43.0,51.0,euclidean,4,8,0.5238947724508501,528,9032,178,23113,11,0.015,EXP,30.0,40.25,55.0,60.0,17.819708399193217,16.988117519354745,0.03789732860746599
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,86,86,1.0,0.5,0.5,0.5,0.16666666666666666,34.913897280966765,40.865284974093264,33.0,39.0,euclidean,6,8,0.5007350777125605,662,7887,193,23113,11,0.02,EXP,25.0,30.0,44.0,50.0,13.907228887337558,14.85970616822003,0.042065604122092974
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,85,85,1.0,0.5,0.5,0.5,0.16666666666666666,29.51851851851852,34.74193548387097,29.0,33.0,euclidean,4,7,0.4844251608269306,783,7539,217,23113,11,0.025,EXP,21.0,25.0,37.0,43.0,11.830188534768817,12.58474469422718,0.04389902062871165
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,65,62,1.0,0.5,0.5,0.5,0.16666666666666666,26.11638418079096,30.522935779816514,26.0,29.0,euclidean,4,6,0.47097625338360766,885,6654,218,23113,11,0.03,EXP,19.0,23.0,32.0,38.0,10.456636982431236,10.970014451643639,0.04827153774072876
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,66,66,1.0,0.5,0.5,0.5,0.16666666666666666,23.229145728643218,26.74493927125506,23.0,26.0,euclidean,2,4,0.45915997190381147,995,6606,247,23113,11,0.035,EXP,16.0,19.5,30.0,33.0,9.58389324976986,10.069984093938901,0.04736759923254297
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,57,57,1.0,0.5,0.5,0.5,0.16666666666666666,21.01181818181818,24.4638783269962,20.0,24.0,euclidean,2,5,0.4481878952523393,1100,6434,263,23113,11,0.04,EXP,15.0,18.0,26.0,30.0,8.78712106973694,9.077906754435732,0.051480107767364856
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,48,47,1.0,0.5,0.5,0.5,0.16666666666666666,19.21280133000831,22.238095238095237,18.0,22.0,euclidean,2,4,0.43707294284827863,1203,6071,273,23113,11,0.045,EXP,13.0,16.0,24.0,27.0,7.940317841939368,8.17696304119141,0.0526103467786953
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,42,42,1.0,0.5,0.5,0.5,0.16666666666666666,17.509848484848487,20.299003322259136,17.0,20.0,euclidean,2,4,0.4267444913820983,1320,6110,301,23113,11,0.05,EXP,12.0,15.0,23.0,25.0,7.3590735567329935,7.709658631608523,0.05430770516019118
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,41,41,1.0,0.5,0.5,0.5,0.16666666666666666,16.380581148121898,19.04590163934426,16.0,19.0,euclidean,3,4,0.41874270646224265,1411,5809,305,23113,11,0.055,EXP,11.0,14.0,21.0,24.0,6.8860641489769785,7.439230829500283,0.05416754259284008
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,38,38,1.0,0.5,0.5,0.5,0.16666666666666666,15.491286863270778,17.940625,15.0,17.0,euclidean,2,4,0.41102620737205187,1492,5741,320,23113,11,0.06,EXP,11.0,13.0,20.0,23.0,6.420940457601885,6.631805908602498,0.05749476030560655
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,37,37,1.0,0.5,0.5,0.5,0.16666666666666666,14.545626179987414,17.20063694267516,14.0,17.0,euclidean,2,4,0.4037491725797973,1589,5401,314,23113,11,0.065,EXP,10.0,12.0,18.0,22.0,6.1144909383229775,6.484759170943209,0.05752983208361165
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,35,34,1.0,0.5,0.5,0.5,0.16666666666666666,13.749553837001784,16.388535031847134,13.0,16.0,euclidean,2,4,0.39611243143507896,1681,5146,314,23113,11,0.07,EXP,10.0,11.0,17.0,21.0,5.795317098903715,6.46021600625698,0.05976324189845507
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,34,34,1.0,0.5,0.5,0.5,0.16666666666666666,13.139852188743605,15.709779179810726,12.0,15.0,euclidean,2,2,0.3908865926325368,1759,4980,317,23113,11,0.075,EXP,9.0,11.0,17.0,20.0,5.545696074153728,6.037030754417882,0.060054163131343555
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,35,31,1.0,0.5,0.5,0.5,0.16666666666666666,12.561413043478261,14.864457831325302,12.0,14.0,euclidean,2,4,0.38489741627363827,1840,4935,332,23113,11,0.08,EXP,9.0,11.0,16.0,19.0,5.32411762061008,5.717469689103053,0.06149315946774878
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,35,35,1.0,0.5,0.5,0.5,0.16666666666666666,11.88940329218107,14.110795454545455,11.0,14.0,euclidean,2,4,0.37692715834325224,1944,4967,352,23113,11,0.085,EXP,8.0,10.0,15.0,17.0,4.990382814133009,5.607594023365853,0.06384867724735732
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,33,30,1.0,0.5,0.5,0.5,0.16666666666666666,11.5565,13.76271186440678,11.0,13.0,euclidean,2,4,0.3725704436879845,2000,4872,354,23113,11,0.09,EXP,8.0,10.0,14.0,17.0,4.78213422542697,5.172195273307695,0.06644063529366638
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,29,29,1.0,0.5,0.5,0.5,0.16666666666666666,11.15492277992278,13.305785123966942,11.0,13.0,euclidean,2,4,0.36733537122492554,2072,4830,363,23113,11,0.095,EXP,8.0,10.0,14.0,16.0,4.519224795764736,4.632814402408283,0.06704502166298364
leiden_cpm,2024-09-13 12:02:55.204872,baseline,umap_fuzzy_simplicial_set,29,29,1.0,0.5,0.5,0.5,0.16666666666666666,10.755234993020009,12.652777777777779,10.0,12.0,euclidean,2,3,0.36237024672697044,2149,4555,360,23113,11,0.1,EXP,8.0,9.0,13.0,16.0,4.339010744642825,4.604224274819756,0.06867157631094904
