clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,23113,23113,1.0,1.0,1.0,1.0,1.0,23113.0,23113.0,23113.0,23113.0,manhattan,23113,23113,0.0,1,23113,1,23113,8,0.0,EXP,23113.0,23113.0,23113.0,23113.0,0.0,0.0,nan
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,197,197,1.0,0.5,0.5,0.5,0.16666666666666666,99.19742489270386,111.44444444444444,97.0,115.0,manhattan,16,16,0.6171405583454029,233,13039,117,23113,8,0.005,EXP,69.0,84.0,126.0,137.0,39.776031692861004,37.277074012234124,0.02828656349381959
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,134,134,1.0,0.5,0.5,0.5,0.16666666666666666,50.68640350877193,58.84090909090909,49.0,57.5,manhattan,11,12,0.5648308151412459,456,10356,176,23113,8,0.01,EXP,34.0,43.0,64.0,72.25,21.672611652433137,22.8223805445227,0.02387394820314622
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,92,84,1.0,0.5,0.5,0.5,0.16666666666666666,36.629160063391446,41.71287128712871,36.0,41.5,manhattan,5,13,0.5369355487672456,631,8426,202,23113,8,0.015,EXP,25.0,31.0,47.0,51.0,14.894516772318507,14.806900073125105,0.02551235813942142
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,84,84,1.0,0.5,0.5,0.5,0.16666666666666666,29.072955974842767,33.65022421524664,28.0,33.0,manhattan,4,7,0.5158654855287268,795,7504,223,23113,8,0.02,EXP,20.0,25.0,37.0,41.0,12.058962509138334,12.551725711446124,0.029541103084207054
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,61,61,1.0,0.5,0.5,0.5,0.16666666666666666,24.879440258342303,28.277153558052433,24.0,27.0,manhattan,2,6,0.49929521264715016,929,7550,267,23113,8,0.025,EXP,17.0,20.0,31.0,36.0,10.083424744819032,10.56343255071823,0.031148196680696134
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,56,53,1.0,0.5,0.5,0.5,0.16666666666666666,21.381128584643847,25.23076923076923,21.0,25.0,manhattan,3,5,0.4845611576894432,1081,6888,273,23113,8,0.03,EXP,15.0,19.0,27.0,31.0,8.84280309256529,8.732588440633481,0.03481468543629402
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,53,53,1.0,0.5,0.5,0.5,0.16666666666666666,19.133278145695364,22.164948453608247,18.0,22.0,manhattan,2,5,0.47377974574829834,1208,6450,291,23113,8,0.035,EXP,13.0,16.0,24.0,27.0,7.816476390359378,8.234134484073618,0.035580213277833304
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,46,46,1.0,0.5,0.5,0.5,0.16666666666666666,17.09541420118343,19.904761904761905,16.0,19.0,manhattan,2,3,0.4612282359637449,1352,6270,315,23113,8,0.04,EXP,12.0,14.0,22.0,25.0,7.0358702443059284,7.618928570498498,0.037536354543959836
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,44,44,1.0,0.5,0.5,0.5,0.16666666666666666,15.962016574585636,18.596273291925467,15.0,18.0,manhattan,2,6,0.45312855419024534,1448,5988,322,23113,8,0.045,EXP,11.0,13.0,20.0,23.0,6.491862251422005,7.005657768549076,0.03875868660280634
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,40,38,1.0,0.5,0.5,0.5,0.16666666666666666,14.816025641025641,17.552870090634443,14.0,17.0,manhattan,2,5,0.4449023736176059,1560,5810,331,23113,8,0.05,EXP,10.0,13.0,19.0,22.0,6.069585767081468,6.372103280848032,0.0417270530424821
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,34,34,1.0,0.5,0.5,0.5,0.16666666666666666,13.774135876042909,16.370262390670554,13.0,16.0,manhattan,2,3,0.43645226445453744,1678,5615,343,23113,8,0.055,EXP,10.0,12.0,17.0,21.0,5.596876656290825,6.070042261029545,0.043984275390418395
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,34,34,1.0,0.5,0.5,0.5,0.16666666666666666,12.941209406494961,15.29945054945055,12.0,15.0,manhattan,2,4,0.42974021430258275,1786,5569,364,23113,8,0.06,EXP,9.0,11.0,16.0,19.0,5.374592199831684,5.835275422680891,0.04462907225207513
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,35,32,1.0,0.5,0.5,0.5,0.16666666666666666,12.261538461538462,14.367724867724867,12.0,14.0,manhattan,2,2,0.42355674542496885,1885,5431,378,23113,8,0.065,EXP,9.0,11.0,15.0,18.0,5.0676098163900924,5.332312958786252,0.0464536256142995
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,31,31,1.0,0.5,0.5,0.5,0.16666666666666666,11.62625754527163,13.880434782608695,11.0,13.0,manhattan,2,2,0.4169875406741034,1988,5108,368,23113,8,0.07,EXP,8.0,10.0,15.0,17.0,4.800093757265544,5.08961515437658,0.050011503681282134
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,31,31,1.0,0.5,0.5,0.5,0.16666666666666666,11.037726838586437,13.254641909814323,10.0,13.0,manhattan,2,3,0.4104589164443822,2094,4997,377,23113,8,0.075,EXP,8.0,10.0,14.0,16.0,4.556763897823957,4.82575824546306,0.05107194467749891
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,33,27,1.0,0.5,0.5,0.5,0.16666666666666666,10.680683918669132,12.870466321243523,10.0,12.0,manhattan,2,2,0.40569983412320726,2164,4968,386,23113,8,0.08,EXP,8.0,10.0,13.0,16.0,4.286760805245202,4.510644668623981,0.05246060290675127
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,28,28,1.0,0.5,0.5,0.5,0.16666666666666666,10.29532293986637,12.545219638242894,10.0,12.0,manhattan,2,2,0.40039849637123803,2245,4855,387,23113,8,0.085,EXP,7.0,9.0,13.0,15.0,4.08273025874145,4.3055035558075785,0.053085221320780245
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,26,26,1.0,0.5,0.5,0.5,0.16666666666666666,9.826955782312925,11.9075,9.0,11.0,manhattan,2,2,0.39499658343789606,2352,4763,400,23113,8,0.09,EXP,7.0,9.0,12.0,15.0,3.9795700103695313,4.295805366866613,0.05454685828254818
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,26,24,1.0,0.5,0.5,0.5,0.16666666666666666,9.614392678868553,11.553299492385786,9.0,11.0,manhattan,2,2,0.39153113530343575,2404,4552,394,23113,8,0.095,EXP,7.0,9.0,12.0,14.0,3.851201922145572,4.115521169191171,0.0560543286807479
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,25,25,1.0,0.5,0.5,0.5,0.16666666666666666,9.150039588281869,11.060240963855422,9.0,11.0,manhattan,2,2,0.38536119980566624,2526,4590,415,23113,8,0.1,EXP,7.0,8.0,11.0,14.0,3.638348957126665,3.9665754025184157,0.0578515192379846
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,24,22,1.0,0.5,0.5,0.5,0.16666666666666666,8.94119922630561,10.725060827250608,8.0,10.0,manhattan,2,3,0.3819679340068846,2585,4408,411,23113,8,0.105,EXP,6.0,8.0,11.0,13.0,3.560641406717818,3.620679949006406,0.05896651147306118
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,24,24,1.0,0.5,0.5,0.5,0.16666666666666666,8.705461393596988,10.625298329355608,8.0,10.0,manhattan,2,3,0.37918107884612995,2655,4452,419,23113,8,0.11,EXP,6.0,8.0,11.0,13.0,3.467018170456027,3.574028511861794,0.06063176757214756
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,22,22,1.0,0.5,0.5,0.5,0.16666666666666666,8.380348078317622,10.26201923076923,8.0,10.0,manhattan,1,3,0.3738823284806576,2758,4269,416,23113,8,0.115,EXP,6.0,8.0,10.0,12.0,3.350344156980301,3.539760389491751,0.06254828231145428
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,23,23,1.0,0.5,0.5,0.5,0.16666666666666666,8.15561044460127,9.976076555023923,8.0,10.0,manhattan,1,2,0.36946178545919134,2834,4170,418,23113,8,0.12,EXP,6.0,7.0,10.0,12.0,3.233796030314495,3.484676217188182,0.06347170144072717
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,22,22,1.0,0.5,0.5,0.5,0.16666666666666666,7.9948114839156,9.81219512195122,8.0,10.0,manhattan,2,2,0.36757673977358973,2891,4023,410,23113,8,0.125,EXP,6.0,7.0,10.0,12.0,3.1978959147622312,3.460769343618887,0.06351665982381367
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,21,21,1.0,0.5,0.5,0.5,0.16666666666666666,7.774302051799529,9.526315789473685,7.0,9.0,manhattan,1,2,0.36371737831021833,2973,3982,418,23113,8,0.13,EXP,6.0,7.0,10.0,12.0,3.113156692746905,3.338269659768312,0.06671191045841934
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,21,21,1.0,0.5,0.5,0.5,0.16666666666666666,7.635612817971589,9.385922330097088,7.0,9.0,manhattan,1,2,0.3608683989456437,3027,3867,412,23113,8,0.135,EXP,5.0,7.0,9.0,11.0,3.0360177337466707,3.3040275325298003,0.06808667638263963
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,20,20,1.0,0.5,0.5,0.5,0.16666666666666666,7.441403734707019,8.95,7.0,9.0,manhattan,1,2,0.35711803188408214,3106,3759,420,23113,8,0.14,EXP,5.0,7.0,9.0,11.0,2.936757495024675,3.2425555764962097,0.06882949656116953
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,21,21,1.0,0.5,0.5,0.5,0.16666666666666666,7.3049936788874845,8.932530120481928,7.0,9.0,manhattan,1,2,0.3540121011775822,3164,3707,415,23113,8,0.145,EXP,5.0,7.0,9.0,11.0,2.8637783858827657,3.090643027167957,0.06966403560204681
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,20,20,1.0,0.5,0.5,0.5,0.16666666666666666,7.109504767763765,8.76867469879518,7.0,9.0,manhattan,1,2,0.3507815874474754,3251,3639,415,23113,8,0.15,EXP,5.0,7.0,9.0,11.0,2.8355423305640888,3.0756692957908682,0.07120046879631188
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,19,19,1.0,0.5,0.5,0.5,0.16666666666666666,6.940840840840841,8.585882352941177,7.0,8.0,manhattan,1,2,0.34718678864112756,3330,3649,425,23113,8,0.155,EXP,5.0,7.0,9.0,10.0,2.755793550283743,2.9921919150929144,0.07279059270271834
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,19,19,1.0,0.5,0.5,0.5,0.16666666666666666,6.846267772511848,8.344907407407407,7.0,8.0,manhattan,1,2,0.3440385133443137,3376,3605,432,23113,8,0.16,EXP,5.0,6.0,8.0,10.0,2.6645610069160552,2.9633598909478516,0.07332148572634638
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,18,18,1.0,0.5,0.5,0.5,0.16666666666666666,6.701362713830096,8.315165876777252,6.0,8.0,manhattan,1,2,0.34113868928191327,3449,3509,422,23113,8,0.165,EXP,5.0,6.0,8.0,10.0,2.625587432110133,2.8902036442414087,0.07381118880030542
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,17,17,1.0,0.5,0.5,0.5,0.16666666666666666,6.523567598080723,8.056737588652481,6.0,8.0,manhattan,1,2,0.33812514668156307,3543,3408,423,23113,8,0.17,EXP,5.0,6.0,8.0,10.0,2.5761768220023096,2.862754339149203,0.07623790028549408
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,17,17,1.0,0.5,0.5,0.5,0.16666666666666666,6.436368699526594,7.878440366972477,6.0,8.0,manhattan,1,2,0.33500049654768244,3591,3435,436,23113,8,0.17500000000000002,EXP,5.0,6.0,8.0,10.0,2.4994129217579877,2.7861705244650823,0.07606480404585822
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,17,17,1.0,0.5,0.5,0.5,0.16666666666666666,6.321936542669584,7.7122969837587005,6.0,7.0,manhattan,1,2,0.3320841262860267,3656,3324,431,23113,8,0.18,EXP,5.0,6.0,8.0,10.0,2.4423372268080383,2.7410791082093744,0.07741693057881527
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,16,15,1.0,0.5,0.5,0.5,0.16666666666666666,6.243381955699622,7.566893424036281,6.0,7.0,manhattan,1,2,0.3301776551797553,3702,3337,441,23113,8,0.185,EXP,5.0,6.0,8.0,9.0,2.4272067247310973,2.7064534633327395,0.07778604567314143
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,17,17,1.0,0.5,0.5,0.5,0.16666666666666666,6.140541976620616,7.488636363636363,6.0,7.0,manhattan,1,2,0.32810674044438265,3764,3295,440,23113,8,0.19,EXP,4.0,6.0,8.0,9.0,2.3927945599560094,2.7236102301817002,0.07924796787675828
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,17,15,1.0,0.5,0.5,0.5,0.16666666666666666,6.060041950707919,7.31322505800464,6.0,7.0,manhattan,1,2,0.32540474878865744,3814,3152,431,23113,8,0.195,EXP,4.0,5.0,7.0,9.0,2.3364853329044863,2.564578732844656,0.0798113705167101
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,16,15,1.0,0.5,0.5,0.5,0.16666666666666666,5.946231026498585,7.161290322580645,6.0,7.0,manhattan,1,2,0.32275308161584815,3887,3108,434,23113,8,0.2,EXP,4.0,5.0,7.0,9.0,2.307790537738684,2.5138829629991726,0.08083383470179639
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,16,15,1.0,0.5,0.5,0.5,0.16666666666666666,5.851392405063291,7.1328671328671325,6.0,7.0,manhattan,1,2,0.3199266935698219,3950,3060,429,23113,8,0.20500000000000002,EXP,4.0,5.0,7.0,9.0,2.259705780208316,2.411813665999615,0.0811596224142431
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,16,15,1.0,0.5,0.5,0.5,0.16666666666666666,5.749502487562189,7.007109004739337,6.0,7.0,manhattan,1,2,0.3172913925828754,4020,2957,422,23113,8,0.21,EXP,4.0,5.0,7.0,9.0,2.217566065525205,2.401114804763302,0.08254618288321691
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,17,15,1.0,0.5,0.5,0.5,0.16666666666666666,5.6746869629265895,6.89906103286385,5.0,7.0,manhattan,1,2,0.31547649447135995,4073,2939,426,23113,8,0.215,EXP,4.0,5.0,7.0,8.0,2.1929937891752207,2.3857261492438284,0.08306132039199257
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,17,15,1.0,0.5,0.5,0.5,0.16666666666666666,5.582850241545894,6.708333333333333,5.0,7.0,manhattan,1,2,0.311794698927169,4140,2898,432,23113,8,0.22,EXP,4.0,5.0,7.0,8.0,2.1451316844790624,2.354688978439655,0.08296108069149401
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,17,15,1.0,0.5,0.5,0.5,0.16666666666666666,5.500475963826749,6.658198614318707,5.0,7.0,manhattan,1,2,0.31071933423532483,4202,2883,433,23113,8,0.225,EXP,4.0,5.0,7.0,8.0,2.121628778552458,2.35401156052069,0.0853650980858396
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,16,15,1.0,0.5,0.5,0.5,0.16666666666666666,5.451179245283019,6.686046511627907,5.0,7.0,manhattan,1,2,0.3089526665762157,4240,2875,430,23113,8,0.23,EXP,4.0,5.0,7.0,8.0,2.1131826854795945,2.4144026557066205,0.08462445603009383
leiden_cpm,2024-08-12 18:27:18.971183,baseline,umap_fuzzy_simplicial_set,16,14,1.0,0.5,0.5,0.5,0.16666666666666666,5.372617387261739,6.564220183486238,5.0,7.0,manhattan,1,2,0.3067813736019119,4302,2862,436,23113,8,0.23500000000000001,EXP,4.0,5.0,7.0,8.0,2.0687674529957407,2.2692610014724255,0.08689723813525163
