clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,23075,23075,1.0,0.5,1.0,1.0,1.0,1926.0833333333333,11539.0,3.0,11539.0,angular,3,3,0.0024645583256864704,12,23078,2,23113,3,0.0,EXP,3.0,5771.0,4.0,17307.0,6376.63833141901,11536.0,-0.44117805383648356
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,78,78,1.0,0.5,0.5,0.5,0.16666666666666666,29.443312101910827,32.53092783505155,28.0,30.0,angular,3,3,0.8219409254184392,785,6311,194,23113,3,0.005,EXP,22.0,25.0,36.0,39.0,10.945826496542018,11.47213442264721,-0.04786189290006182
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,47,43,1.0,0.5,0.5,0.5,0.16666666666666666,19.67063829787234,22.19396551724138,19.0,22.0,angular,3,3,0.8004879894893511,1175,5149,232,23113,3,0.01,EXP,15.0,17.0,24.0,27.0,6.68574456912913,6.967372096410915,-0.03498753977033965
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,41,41,1.0,0.5,0.5,0.5,0.16666666666666666,15.787568306010929,17.177777777777777,15.0,16.0,angular,3,3,0.7862565033722269,1464,4638,270,23113,3,0.015,EXP,12.0,13.0,19.0,21.0,5.2920792023160095,5.6409437963500615,-0.025438716424540975
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,32,27,1.0,0.5,0.5,0.5,0.16666666666666666,13.52428320655354,14.844884488448844,13.0,14.0,angular,3,3,0.7761542365497077,1709,4498,303,23113,3,0.02,EXP,10.0,11.0,16.0,18.0,4.629910278905275,4.806386555337633,-0.01355518876325632
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,28,28,1.0,0.5,0.5,0.5,0.16666666666666666,12.088389121338912,13.077922077922079,12.0,13.0,angular,3,3,0.7667116011515444,1912,4028,308,23113,3,0.025,EXP,9.0,10.0,14.0,16.0,3.953446555157179,4.071651229438481,-0.004658923195023644
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,25,25,1.0,0.5,0.5,0.5,0.16666666666666666,11.011434016198189,12.13109756097561,11.0,12.0,angular,3,3,0.7578462311412824,2099,3979,328,23113,3,0.03,EXP,9.0,9.0,13.0,14.25,3.5746797338270255,3.8052285935300185,0.002263927839368702
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,23,23,1.0,0.5,0.5,0.5,0.16666666666666666,10.190917107583774,11.142011834319527,10.0,11.0,angular,3,3,0.7509473597086963,2268,3766,338,23113,3,0.035,EXP,8.0,9.0,12.0,13.75,3.2769256958400104,3.6240417758021715,0.006472612312553752
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,22,21,1.0,0.5,0.5,0.5,0.16666666666666666,9.453169734151329,10.516616314199396,9.0,10.0,angular,2,3,0.7436388234136826,2445,3481,331,23113,3,0.04,EXP,7.0,8.0,11.0,12.5,3.141378172705581,3.4178572333095945,0.01117230439195054
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,21,20,1.0,0.5,0.5,0.5,0.16666666666666666,8.852163921869016,9.78735632183908,9.0,9.0,angular,2,3,0.736214035430341,2611,3406,348,23113,3,0.045,EXP,7.0,8.0,10.0,12.0,2.8817453482134745,3.0125524595118023,0.016721128463804164
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,19,19,1.0,0.5,0.5,0.5,0.16666666666666666,8.293146752780768,9.05056179775281,8.0,9.0,angular,2,3,0.7290436453898477,2787,3222,356,23113,3,0.05,EXP,6.0,7.0,10.0,10.25,2.7041343715337836,2.7504289183589314,0.021398465399118886
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,19,18,1.0,0.5,0.5,0.5,0.16666666666666666,8.184490084985836,8.817415730337078,8.0,9.0,angular,2,3,0.7275027884126211,2824,3139,356,23113,3,0.055,EXP,6.0,7.0,10.0,10.0,2.595272496140204,2.54241105954714,0.023599163043248817
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,19,18,1.0,0.5,0.5,0.5,0.16666666666666666,7.615485996705107,8.307065217391305,7.0,8.0,angular,2,3,0.7189261797983817,3035,3057,368,23113,3,0.06,EXP,6.0,7.0,9.0,10.0,2.4406140798386597,2.5347056419629608,0.03098767402783148
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,17,16,1.0,0.5,0.5,0.5,0.16666666666666666,7.365519439133206,8.12054794520548,7.0,8.0,angular,2,3,0.714549673658788,3138,2964,365,23113,3,0.065,EXP,6.0,6.0,9.0,10.0,2.389678597563695,2.4699264535725396,0.03267994587066311
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,18,18,1.0,0.5,0.5,0.5,0.16666666666666666,7.1512995049504955,7.841225626740947,7.0,8.0,angular,2,3,0.7112934557313082,3232,2815,359,23113,3,0.07,EXP,6.0,6.0,9.0,9.0,2.236414883045779,2.3222011102500004,0.037078067594297485
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,17,16,1.0,0.5,0.5,0.5,0.16666666666666666,6.924206111443978,7.5397727272727275,7.0,8.0,angular,2,3,0.7071443546393337,3338,2654,352,23113,3,0.075,EXP,5.0,6.0,8.0,9.0,2.2297503767057,2.179086535722088,0.0387704004967451
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,17,16,1.0,0.5,0.5,0.5,0.16666666666666666,6.681989014165944,7.261111111111111,7.0,7.0,angular,2,3,0.702938269779886,3459,2614,360,23113,3,0.08,EXP,5.0,6.0,8.0,9.0,2.2158844617536246,2.163751600266149,0.04157222663536252
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,17,16,1.0,0.5,0.5,0.5,0.16666666666666666,6.443546138834681,6.94475138121547,6.0,7.0,angular,2,3,0.6967293302690118,3587,2514,362,23113,3,0.085,EXP,5.0,5.0,8.0,8.0,2.0801689588682675,2.0212237333302934,0.04494842280602273
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,17,13,1.0,0.5,0.5,0.5,0.16666666666666666,6.3883360972913215,6.958448753462604,6.0,7.0,angular,2,2,0.695184042322052,3618,2512,361,23113,3,0.09,EXP,5.0,6.0,8.0,8.0,2.0430271997972955,1.9653344300370426,0.045884120100258885
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,16,16,1.0,0.5,0.5,0.5,0.16666666666666666,6.318480043739749,6.8038147138964575,6.0,7.0,angular,2,2,0.6935254632456067,3658,2497,367,23113,3,0.095,EXP,5.0,5.0,8.0,8.0,1.9844922798576043,1.987614688755133,0.047032287652054264
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,16,16,1.0,0.5,0.5,0.5,0.16666666666666666,5.885663356251592,6.453580901856764,6.0,6.0,angular,2,2,0.6840780354428198,3927,2433,377,23113,3,0.1,EXP,4.0,5.0,7.0,8.0,1.9915573553139791,1.970227784285228,0.050680625240842075
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,14,12,1.0,0.5,0.5,0.5,0.16666666666666666,5.836616161616162,6.357723577235772,6.0,6.0,angular,2,2,0.6831646524642973,3960,2346,369,23113,3,0.105,EXP,4.0,5.0,7.0,8.0,1.920732884152311,1.8499106312588876,0.0531897949526464
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,14,13,1.0,0.5,0.5,0.5,0.16666666666666666,5.781140570285142,6.293963254593176,6.0,6.0,angular,2,2,0.6813038367910761,3998,2398,381,23113,3,0.11,EXP,4.0,5.0,7.0,8.0,1.894642270830323,1.8775340639731237,0.053036604200860614
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,14,11,1.0,0.5,0.5,0.5,0.16666666666666666,5.664950980392157,6.051679586563307,6.0,6.0,angular,2,2,0.6777548825061411,4080,2342,387,23113,3,0.115,EXP,4.0,5.0,7.0,7.0,1.8142267292287528,1.7483594438445573,0.05798063495985076
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,13,13,1.0,0.5,0.5,0.5,0.16666666666666666,5.499167261479895,6.020304568527918,5.0,6.0,angular,2,2,0.6729714459091605,4203,2372,394,23113,3,0.12,EXP,4.0,5.0,7.0,7.0,1.8240956735518463,1.7810605146889884,0.059731440037348114
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,13,13,1.0,0.5,0.5,0.5,0.16666666666666666,5.43835294117647,5.904282115869018,5.0,6.0,angular,2,2,0.6713979960574206,4250,2344,397,23113,3,0.125,EXP,4.0,5.0,7.0,7.0,1.778058986025342,1.773271124110634,0.061269283531814295
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,12,10,1.0,0.5,0.5,0.5,0.16666666666666666,5.308451998162609,5.782828282828283,5.0,6.0,angular,2,2,0.6666724618235284,4354,2290,396,23113,3,0.13,EXP,4.0,4.0,6.0,7.0,1.745704681159881,1.7344716777209834,0.06295953488195664
leiden_cpm,2024-09-17 10:38:01.937039,baseline,umap_fuzzy_simplicial_set,13,10,1.0,0.5,0.5,0.5,0.16666666666666666,5.20211568759847,5.675879396984925,5.0,6.0,angular,2,2,0.6632654157587838,4443,2259,398,23113,3,0.135,EXP,4.0,4.0,6.0,7.0,1.7023966710226555,1.700715517624001,0.06577911333869782
