clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-09-19 13:15:38.445147,baseline,umap_fuzzy_simplicial_set,22560,22560,1.0,1.0,1.0,1.0,0.8333333333333334,642.0277777777778,2527.4444444444443,10.5,23.0,clr,5,8,0.05395158800619227,36,22747,9,23113,5,0.0,EXP,7.0,11.0,22.25,37.0,3704.838566629314,7082.588558666811,-0.023969881282400553
leiden_cpm,2024-09-19 13:15:38.445147,baseline,umap_fuzzy_simplicial_set,143,143,1.0,0.5,0.5,0.5,0.16666666666666666,41.49551166965889,51.53543307086614,39.0,46.0,clr,4,4,0.8204853077110926,557,6545,127,23113,5,0.005,EXP,24.0,34.0,56.0,65.5,23.7582543070497,26.89372355299156,0.0054159150887633616
leiden_cpm,2024-09-19 13:15:38.445147,baseline,umap_fuzzy_simplicial_set,94,94,1.0,0.5,0.5,0.5,0.16666666666666666,28.118004866180048,32.44186046511628,27.0,30.0,clr,4,4,0.7948453773480532,822,5580,172,23113,5,0.01,EXP,18.0,23.0,37.0,39.25,14.022034863487956,15.066985818502273,0.007621709930001433
leiden_cpm,2024-09-19 13:15:38.445147,baseline,umap_fuzzy_simplicial_set,94,94,1.0,0.5,0.5,0.5,0.16666666666666666,22.83893280632411,26.270588235294117,22.0,24.0,clr,3,4,0.7796773722886422,1012,4466,170,23113,5,0.015,EXP,15.0,18.0,29.0,32.0,11.237850094676727,12.663414868216531,0.008586367451643255
leiden_cpm,2024-09-19 13:15:38.445147,baseline,umap_fuzzy_simplicial_set,94,94,1.0,0.5,0.5,0.5,0.16666666666666666,19.856529209621993,23.18716577540107,19.0,23.0,clr,3,4,0.7674650130055596,1164,4336,187,23113,5,0.02,EXP,13.0,16.0,25.0,29.0,9.588484662627117,11.033359526837433,0.009538256265841863
leiden_cpm,2024-09-19 13:15:38.445147,baseline,umap_fuzzy_simplicial_set,94,94,1.0,0.5,0.5,0.5,0.16666666666666666,17.31310861423221,20.54228855721393,16.0,19.0,clr,3,4,0.7555947503270669,1335,4129,201,23113,5,0.025,EXP,11.0,14.0,22.0,25.0,8.510452731337082,10.52026959609145,0.010149616514613177
leiden_cpm,2024-09-19 13:15:38.445147,baseline,umap_fuzzy_simplicial_set,94,94,1.0,0.5,0.5,0.5,0.16666666666666666,15.744550408719347,18.566666666666666,15.0,17.0,clr,3,3,0.74566500171526,1468,3899,210,23113,5,0.03,EXP,10.0,13.0,19.0,23.0,7.745316172889985,9.478187155043507,0.010598783366857361
leiden_cpm,2024-09-19 13:15:38.445147,baseline,umap_fuzzy_simplicial_set,94,94,1.0,0.5,0.5,0.5,0.16666666666666666,14.509102322661645,17.2152466367713,14.0,15.0,clr,2,3,0.7370581061410219,1593,3839,223,23113,5,0.035,EXP,10.0,11.0,18.0,21.0,7.126606734676423,9.140082758462693,0.011172973184509532
leiden_cpm,2024-09-19 13:15:38.445147,baseline,umap_fuzzy_simplicial_set,94,94,1.0,0.5,0.5,0.5,0.16666666666666666,13.38332368268674,15.920168067226891,12.0,14.0,clr,3,3,0.7284696961101543,1727,3789,238,23113,5,0.04,EXP,9.0,11.0,16.0,19.0,6.645905510846321,9.003146787240212,0.011629148697357209
leiden_cpm,2024-09-19 13:15:38.445147,baseline,umap_fuzzy_simplicial_set,91,91,1.0,0.5,0.5,0.5,0.16666666666666666,12.734435261707988,15.459915611814345,12.0,14.0,clr,2,3,0.722650604926206,1815,3664,237,23113,5,0.045,EXP,9.0,11.0,16.0,18.0,6.37479531551245,8.672880569732577,0.01188847736548776
