clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-09-15 22:07:07.837908,baseline,umap_fuzzy_simplicial_set,39,36,1.0,0.5,0.5,0.5,0.16666666666666666,4.597772031032425,6.215425531914893,4.0,5.0,correlation,2,2,0.9996488388643772,5027,2337,376,23113,2,0.0,EXP,2.0,3.0,6.0,8.0,3.1473556254751665,4.383100565079866,-0.011951525597540305
leiden_cpm,2024-09-15 22:07:07.837908,baseline,umap_fuzzy_simplicial_set,39,36,1.0,0.5,0.5,0.5,0.16666666666666666,4.597772031032425,6.215425531914893,4.0,5.0,correlation,2,2,0.9996488388643772,5027,2337,376,23113,2,0.005,EXP,2.0,3.0,6.0,8.0,3.1473556254751665,4.383100565079866,-0.011951525597540305
leiden_cpm,2024-09-15 22:07:07.837908,baseline,umap_fuzzy_simplicial_set,27,27,1.0,0.5,0.5,0.5,0.16666666666666666,4.594116477837408,6.1697612732095495,4.0,5.0,correlation,2,2,0.999434668052161,5031,2326,377,23113,2,0.01,EXP,2.0,3.0,6.0,8.0,3.071181823214492,4.028787418035406,-0.011298443587700721
leiden_cpm,2024-09-15 22:07:07.837908,baseline,umap_fuzzy_simplicial_set,24,19,1.0,0.5,0.5,0.5,0.16666666666666666,4.587733227471219,6.026666666666666,4.0,5.0,correlation,2,2,0.9990539505129273,5038,2260,375,23113,2,0.015,EXP,2.0,3.0,6.0,8.0,3.0008838817498877,3.6484639081247447,-0.010136288134158738
leiden_cpm,2024-09-15 22:07:07.837908,baseline,umap_fuzzy_simplicial_set,21,19,1.0,0.5,0.5,0.5,0.16666666666666666,4.585002975600079,6.026666666666666,4.0,5.0,correlation,2,2,0.9988899488527306,5041,2260,375,23113,2,0.02,EXP,2.0,3.0,6.0,8.0,2.979591570066425,3.6484639081247447,-0.009817423088417862
leiden_cpm,2024-09-15 22:07:07.837908,baseline,umap_fuzzy_simplicial_set,21,17,1.0,0.5,0.5,0.5,0.16666666666666666,4.572304648862512,5.874666666666666,4.0,5.0,correlation,2,2,0.9981228091560216,5055,2203,375,23113,2,0.025,EXP,2.0,3.0,6.0,8.0,2.900572018036813,3.313451104546772,-0.00809011083832056
leiden_cpm,2024-09-15 22:07:07.837908,baseline,umap_fuzzy_simplicial_set,18,16,1.0,0.5,0.5,0.5,0.16666666666666666,4.561476218669824,5.875,4.0,5.0,correlation,2,2,0.9974638539062881,5067,2209,376,23113,2,0.03,EXP,2.0,3.0,6.0,8.0,2.8482992116401444,3.28646685084486,-0.006540516125103959
leiden_cpm,2024-09-15 22:07:07.837908,baseline,umap_fuzzy_simplicial_set,16,15,1.0,0.5,0.5,0.5,0.16666666666666666,4.545329400196657,5.75,4.0,5.0,correlation,2,2,0.9964750946822786,5085,2139,372,23113,2,0.035,EXP,2.0,3.0,6.0,8.0,2.7722746438147827,3.1072885182235446,-0.003598902905470252
leiden_cpm,2024-09-15 22:07:07.837908,baseline,umap_fuzzy_simplicial_set,16,14,1.0,0.5,0.5,0.5,0.16666666666666666,4.522207004500098,5.654986522911051,4.0,5.0,correlation,2,2,0.995045109528594,5111,2098,371,23113,2,0.04,EXP,2.0,3.0,6.0,8.0,2.6824804438131293,2.9395702946754962,-3.7415919169633785e-05
leiden_cpm,2024-09-15 22:07:07.837908,baseline,umap_fuzzy_simplicial_set,15,14,1.0,0.5,0.5,0.5,0.16666666666666666,4.494943601711396,5.588709677419355,4.0,5.0,correlation,2,2,0.9933388967321982,5142,2079,372,23113,2,0.045,EXP,2.0,3.0,6.0,8.0,2.5880589467687036,2.820848162622904,0.003634049703742547
