clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,23113,23113,1.0,1.0,1.0,1.0,1.0,23113.0,23113.0,23113.0,23113.0,euclidean,23113,23113,0.0,1,23113,1,23113,4,0.0,EXP,23113.0,23113.0,23113.0,23113.0,0.0,0.0,nan
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,109,109,1.0,0.5,0.5,0.5,0.16666666666666666,44.1087786259542,50.02209944751381,42.5,49.0,euclidean,5,15,0.726812441190498,524,9054,181,23113,4,0.005,EXP,31.0,36.0,55.25,63.0,16.734386571610347,17.701002188160093,-0.009603750158686033
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,69,69,1.0,0.5,0.5,0.5,0.16666666666666666,27.35266272189349,30.237885462555067,27.0,30.0,euclidean,3,5,0.6997465138244539,845,6864,227,23113,4,0.01,EXP,21.0,23.0,33.0,36.0,9.716143250049077,10.154132464244231,-0.0038201440233523983
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,52,52,1.0,0.5,0.5,0.5,0.16666666666666666,20.52664298401421,22.712230215827336,20.0,22.0,euclidean,3,5,0.679965209111654,1126,6314,278,23113,4,0.015,EXP,16.0,17.25,25.0,27.0,7.130270990398491,7.780943890807385,0.0023174607386590544
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,44,44,1.0,0.5,0.5,0.5,0.16666666666666666,17.656990068754773,19.80968858131488,17.0,20.0,euclidean,3,5,0.6678080871498163,1309,5725,289,23113,4,0.02,EXP,13.0,15.0,21.0,24.0,6.069056920385633,6.480349020880756,0.005594396591039467
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,39,39,1.0,0.5,0.5,0.5,0.16666666666666666,15.256105610561056,17.307443365695793,15.0,17.0,euclidean,3,5,0.6567764849662239,1515,5348,309,23113,4,0.025,EXP,11.0,13.0,19.0,21.0,5.327717610078522,5.760537798590788,0.010071030856689464
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,33,32,1.0,0.5,0.5,0.5,0.16666666666666666,13.66016548463357,15.466257668711657,13.0,15.0,euclidean,3,5,0.6462655244698693,1692,5042,326,23113,4,0.03,EXP,10.0,12.0,17.0,18.0,4.737905789782152,4.937998661424747,0.017318224762516685
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,34,30,1.0,0.5,0.5,0.5,0.16666666666666666,12.46655879180151,13.94186046511628,12.0,13.5,euclidean,3,5,0.6382088652454723,1854,4796,344,23113,4,0.035,EXP,9.0,10.0,15.0,17.0,4.327069573311997,4.5343768351180955,0.02199200608100214
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,30,26,1.0,0.5,0.5,0.5,0.16666666666666666,11.533433133732535,12.761772853185596,11.0,12.0,euclidean,3,3,0.6299541723506282,2004,4607,361,23113,4,0.04,EXP,9.0,10.0,14.0,15.0,3.852751303265024,3.9271455541209535,0.024308575007724927
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,28,24,1.0,0.5,0.5,0.5,0.16666666666666666,10.563528336380257,11.618528610354224,10.0,11.0,euclidean,2,3,0.6209037218612061,2188,4264,367,23113,4,0.045,EXP,8.0,9.0,13.0,14.0,3.6055620222092672,3.8003993786432955,0.028837866476058224
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,27,27,1.0,0.5,0.5,0.5,0.16666666666666666,10.049130434782608,11.175392670157068,10.0,11.0,euclidean,2,3,0.6157313714860232,2300,4269,382,23113,4,0.05,EXP,8.0,8.25,12.0,13.0,3.4026491125278797,3.5577688354708834,0.03239577822664437
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,22,22,1.0,0.5,0.5,0.5,0.16666666666666666,9.622398001665278,10.849726775956285,9.0,11.0,euclidean,2,3,0.6097301362450315,2402,3971,366,23113,4,0.055,EXP,7.0,8.0,12.0,13.0,3.1829135702685214,3.2821486750829285,0.03377973594702816
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,23,22,1.0,0.5,0.5,0.5,0.16666666666666666,9.124753257007502,10.239294710327457,9.0,10.0,euclidean,2,3,0.604841553036762,2533,4065,397,23113,4,0.06,EXP,7.0,8.0,11.0,12.0,3.0727832383941744,3.146413336311541,0.03741931474782901
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,23,23,1.0,0.5,0.5,0.5,0.16666666666666666,8.811666031261915,9.751898734177216,9.0,9.0,euclidean,2,3,0.5996988251824693,2623,3852,395,23113,4,0.065,EXP,7.0,8.0,11.0,11.0,2.886132527820689,2.9016303038335156,0.04001872185978941
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,20,18,1.0,0.5,0.5,0.5,0.16666666666666666,8.43232396935425,9.400503778337532,8.0,9.0,euclidean,2,3,0.5934057376641357,2741,3732,397,23113,4,0.07,EXP,6.0,7.0,10.0,11.0,2.7416215836276385,2.9141018634633618,0.04250017219301393
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,19,18,1.0,0.5,0.5,0.5,0.16666666666666666,8.172913719943423,9.143958868894602,8.0,9.0,euclidean,2,3,0.5891403707361254,2828,3557,389,23113,4,0.075,EXP,6.0,7.0,10.0,11.0,2.650321241700831,2.781659684406173,0.04347474391298355
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,18,18,1.0,0.5,0.5,0.5,0.16666666666666666,7.89917976760082,8.78061224489796,8.0,9.0,euclidean,2,3,0.5852215089877133,2926,3442,392,23113,4,0.08,EXP,6.0,7.0,9.0,10.0,2.5510011726224677,2.5520763120853585,0.04767950696259544
leiden_cpm,2024-09-17 15:42:50.387360,baseline,umap_fuzzy_simplicial_set,17,16,1.0,0.5,0.5,0.5,0.16666666666666666,7.628052805280528,8.534825870646767,7.0,8.0,euclidean,2,3,0.5810692829909265,3030,3431,402,23113,4,0.085,EXP,6.0,7.0,9.0,10.0,2.4987003560168626,2.4535548572103822,0.04869209199586339
