clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-08-08 02:55:19.729469,baseline,umap_fuzzy_simplicial_set,23113,23113,1.0,1.0,1.0,1.0,1.0,23113.0,23113.0,23113.0,23113.0,manhattan,23113,23113,0.0,1,23113,1,23113,6,0.0,EXP,23113.0,23113.0,23113.0,23113.0,0.0,0.0,nan
leiden_cpm,2024-08-08 02:55:19.729469,baseline,umap_fuzzy_simplicial_set,172,172,1.0,0.5,0.5,0.5,0.16666666666666666,71.11692307692307,82.63571428571429,67.0,78.0,manhattan,14,17,0.6478768754672627,325,11569,140,23113,6,0.005,EXP,47.0,62.0,91.0,99.25,30.418393065485734,29.626535093268213,0.010678939037259224
leiden_cpm,2024-08-08 02:55:19.729469,baseline,umap_fuzzy_simplicial_set,94,94,1.0,0.5,0.5,0.5,0.16666666666666666,39.241086587436335,46.29120879120879,38.0,45.5,manhattan,6,12,0.6047337166285565,589,8425,182,23113,6,0.01,EXP,27.0,35.0,50.0,57.75,15.36747196986625,15.8165245925638,0.013585205122035376
leiden_cpm,2024-08-08 02:55:19.729469,baseline,umap_fuzzy_simplicial_set,68,68,1.0,0.5,0.5,0.5,0.16666666666666666,28.81920199501247,32.67099567099567,27.0,32.0,manhattan,5,9,0.5801117030522694,802,7547,231,23113,6,0.015,EXP,20.0,24.0,36.0,40.0,11.306254988144998,11.808903323761186,0.016829268031229444
leiden_cpm,2024-08-08 02:55:19.729469,baseline,umap_fuzzy_simplicial_set,70,54,1.0,0.5,0.5,0.5,0.16666666666666666,23.803295571575696,27.372384937238493,23.0,27.0,manhattan,5,6,0.5620867475502689,971,6542,239,23113,6,0.02,EXP,17.0,20.5,29.5,34.0,9.224482126311008,9.350868158425637,0.020040826306192253
leiden_cpm,2024-08-08 02:55:19.729469,baseline,umap_fuzzy_simplicial_set,55,51,1.0,0.5,0.5,0.5,0.16666666666666666,20.544888888888888,23.799212598425196,20.0,23.0,manhattan,5,7,0.5501003228890476,1125,6045,254,23113,6,0.025,EXP,15.0,18.0,25.0,29.0,7.833772079123461,8.013463042354402,0.022797828351579105
leiden_cpm,2024-08-08 02:55:19.729469,baseline,umap_fuzzy_simplicial_set,46,46,1.0,0.5,0.5,0.5,0.16666666666666666,18.01480904130943,20.614035087719298,17.0,20.0,manhattan,4,6,0.5377826602737796,1283,5875,285,23113,6,0.03,EXP,13.0,15.0,22.0,26.0,6.782141433398087,6.999635043029811,0.027343362069394334
leiden_cpm,2024-08-08 02:55:19.729469,baseline,umap_fuzzy_simplicial_set,41,39,1.0,0.5,0.5,0.5,0.16666666666666666,16.095403899721447,18.325259515570934,16.0,17.0,manhattan,2,5,0.5269508671755853,1436,5296,289,23113,6,0.035,EXP,12.0,13.0,20.0,22.0,6.070381634906571,6.31015702499205,0.02985414918921772
leiden_cpm,2024-08-08 02:55:19.729469,baseline,umap_fuzzy_simplicial_set,40,40,1.0,0.5,0.5,0.5,0.16666666666666666,14.816025641025641,17.154574132492115,14.0,16.0,manhattan,2,4,0.518531888453563,1560,5438,317,23113,6,0.04,EXP,11.0,13.0,18.25,21.0,5.582148708559344,5.924186075284858,0.03326289601439678
leiden_cpm,2024-08-08 02:55:19.729469,baseline,umap_fuzzy_simplicial_set,34,34,1.0,0.5,0.5,0.5,0.16666666666666666,13.725059382422803,15.84,13.0,15.0,manhattan,2,4,0.510245163844646,1684,5148,325,23113,6,0.045,EXP,10.0,12.0,17.0,20.0,5.150335095874747,5.340607859381955,0.036200030657791066
