clustering,datetime,dimensionality,graph,max_cluster_size,max_enriched_cluster_size,max_fraction_same_cluster_Histone_subset.tsv,max_fraction_same_cluster_MCMsubset.tsv,max_fraction_same_cluster_MucocystSubsets.tsv,max_fraction_same_cluster_ProteosomeSubset.tsv,max_fraction_same_cluster_RibosomalSubset.tsv,mean_cluster_size,mean_enriched_cluster_size,median_cluster_size,median_enriched_cluster_size,metric,min_cluster_size,min_enriched_cluster_size,modularity,nclusters,nenriched_cluster_genes,nenriched_clusters,ngenes,nns,parameter,partition_type,q1_cluster_size,q1_enriched_cluster_size,q3_cluster_size,q3_enriched_cluster_size,sd_cluster_size,sd_enriched_cluster_size,silhouette_score
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,63,51,1.0,0.5,0.5,0.5,0.16666666666666666,27.94800483675937,27.17241379310345,27.0,26.0,manhattan,3,11,0.7904405733362487,827,788,29,23113,3,0.005,TNC,22.0,20.0,34.0,33.0,8.528972191067952,8.936824111958657,-0.03208225620450389
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,68,68,1.0,0.5,0.5,0.5,0.16666666666666666,27.06440281030445,28.90909090909091,27.0,27.0,manhattan,3,3,0.7889234254934141,854,954,33,23113,3,0.005,TNC,21.0,24.0,32.0,32.0,8.386831559827556,11.171835899053114,-0.03726889517467502
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,56,54,1.0,0.5,0.5,0.5,0.16666666666666666,27.385071090047393,26.05263157894737,27.0,24.0,manhattan,3,11,0.7896181088373456,844,990,38,23113,3,0.005,TNC,22.0,20.0,32.0,29.0,8.426701798093863,9.417082374239556,-0.030782219270640915
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,61,41,1.0,0.5,0.5,0.5,0.16666666666666666,27.914251207729468,27.685714285714287,27.0,27.0,manhattan,3,14,0.7908965694741781,828,969,35,23113,3,0.005,TNC,23.0,23.5,33.0,32.0,8.663942704292976,6.390937461175243,-0.033452230407814046
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,62,54,1.0,0.5,0.5,0.5,0.16666666666666666,27.06440281030445,26.923076923076923,26.0,25.0,manhattan,3,15,0.7875762077290818,854,1050,39,23113,3,0.005,TNC,22.0,21.0,31.75,32.0,8.462996867437626,8.642128819483332,-0.03596840968699686
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,65,46,1.0,0.5,0.5,0.5,0.16666666666666666,27.914251207729468,29.060606060606062,27.0,27.0,manhattan,3,17,0.7885809325225499,828,959,33,23113,3,0.005,TNC,22.0,24.0,33.0,34.0,8.757392449065131,6.954132819342335,-0.03358730220665917
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,68,40,1.0,0.5,0.5,0.5,0.16666666666666666,27.548271752085817,25.5,27.0,25.0,manhattan,3,13,0.7868405105440097,839,510,20,23113,3,0.005,TNC,22.0,21.75,32.0,29.25,8.462058276036204,6.492303135251773,-0.031797856614468975
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,60,38,1.0,0.5,0.5,0.5,0.16666666666666666,27.223792697290932,26.82758620689655,27.0,27.0,manhattan,3,16,0.7874950734066991,849,778,29,23113,3,0.005,TNC,22.0,22.0,32.0,31.0,8.431353747525863,6.085987101628548,-0.03394169372696863
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,67,43,1.0,0.5,0.5,0.5,0.16666666666666666,27.159811985898944,25.4,26.0,26.0,manhattan,3,9,0.7891540698367413,851,889,35,23113,3,0.005,TNC,22.0,20.5,32.0,30.5,8.40529361276018,7.506949161562619,-0.03164824062608885
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,57,57,1.0,0.5,0.5,0.5,0.3333333333333333,26.93822843822844,29.94871794871795,26.0,28.0,manhattan,3,18,0.7904407082521937,858,1168,39,23113,3,0.005,TNC,21.25,24.0,32.0,35.5,8.965078981839099,8.145940369913756,-0.04162258594535503
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,53,45,1.0,0.5,0.5,0.5,0.16666666666666666,27.64712918660287,27.142857142857142,27.0,27.0,manhattan,3,12,0.7890618662733769,836,950,35,23113,3,0.005,TNC,22.0,21.0,32.0,32.0,8.19914389786836,8.257093425457574,-0.03551988498450928
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,59,48,1.0,0.5,0.5,0.5,0.16666666666666666,27.288075560802834,25.627906976744185,26.0,25.0,manhattan,3,15,0.78744469181604,847,1102,43,23113,3,0.005,TNC,22.0,21.0,31.0,27.0,8.129392614312804,7.272193795272361,-0.03211402949507595
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,62,52,1.0,0.5,0.5,0.5,0.16666666666666666,27.32033096926714,29.181818181818183,26.0,27.0,manhattan,3,5,0.7906663924172156,846,1284,44,23113,3,0.005,TNC,22.0,24.0,32.0,34.0,8.315171009738297,9.040999359666364,-0.036861929972527435
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,73,45,1.0,0.5,0.5,0.5,0.16666666666666666,27.385071090047393,27.11627906976744,26.0,25.0,manhattan,3,18,0.790594341931996,844,1166,43,23113,3,0.005,TNC,22.0,23.0,32.0,29.5,8.502289341529075,6.325324892200203,-0.03221769526407239
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,60,48,1.0,0.5,0.5,0.5,0.16666666666666666,27.64712918660287,26.638297872340427,27.0,25.0,manhattan,3,14,0.791002258562312,836,1252,47,23113,3,0.005,TNC,22.0,21.0,32.0,29.0,8.286504211397698,7.378593338567517,-0.03263658440435732
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,68,51,1.0,0.5,0.5,0.5,0.16666666666666666,27.581145584725537,25.73076923076923,26.0,24.5,manhattan,3,5,0.7903433127655999,838,669,26,23113,3,0.005,TNC,22.0,19.25,33.0,30.0,9.171918210049418,10.147215200800709,-0.03521477702628849
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,63,43,1.0,0.5,0.5,0.5,0.16666666666666666,27.223792697290932,27.85185185185185,26.0,27.0,manhattan,3,12,0.7903848338156723,849,752,27,23113,3,0.005,TNC,22.0,22.0,32.0,33.0,8.71316776865908,8.249371260906758,-0.03703522521426733
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,66,43,1.0,0.5,0.5,0.5,0.16666666666666666,27.35266272189349,28.153846153846153,26.0,27.0,manhattan,3,13,0.7895422578378487,845,1098,39,23113,3,0.005,TNC,22.0,23.5,32.0,32.0,8.371189427825614,7.220123095542963,-0.032147944075191275
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,61,44,1.0,0.5,0.5,0.5,0.16666666666666666,27.159811985898944,29.363636363636363,26.0,29.0,manhattan,3,13,0.7902197885310992,851,969,33,23113,3,0.005,TNC,22.0,24.0,32.0,33.0,8.471578637892685,6.95796113387362,-0.03582886058042976
leiden_cpm,2024-08-09 02:20:50.212611,baseline,umap_fuzzy_simplicial_set,55,55,1.0,0.5,0.5,0.5,0.16666666666666666,27.680239520958082,27.805555555555557,27.0,27.0,manhattan,3,3,0.7887980001392828,835,1001,36,23113,3,0.005,TNC,23.0,23.75,32.0,30.0,8.380446585509022,8.653257076077848,-0.03786743112713207
