,TTHERM_ID,leiden_label_full
19781,TTHERM_01224650,673
19783,TTHERM_01202212,673
19782,TTHERM_00420620,673
19780,TTHERM_000246949,673
17552,TTHERM_00758900,672
17554,TTHERM_00490970,672
17551,TTHERM_00220900,672
17546,TTHERM_00220880,672
17550,TTHERM_001287954,672
17549,TTHERM_000963272,672
17547,TTHERM_000956521,672
17544,TTHERM_000886917,672
17553,TTHERM_000619890,672
17548,TTHERM_000424459,672
17543,TTHERM_000362979,672
17545,TTHERM_000155257,672
17542,TTHERM_000069529,672
13887,TTHERM_01299700,671
13909,TTHERM_01260750,671
13890,TTHERM_01222550,671
13902,TTHERM_01126380,671
13883,TTHERM_01075650,671
13867,TTHERM_01054340,671
13894,TTHERM_01050580,671
13904,TTHERM_01027520,671
13879,TTHERM_00951730,671
13907,TTHERM_00947660,671
13861,TTHERM_00877040,671
13875,TTHERM_00794410,671
13918,TTHERM_00765200,671
13882,TTHERM_00726150,671
13916,TTHERM_00717870,671
13920,TTHERM_00658920,671
13901,TTHERM_00571780,671
13866,TTHERM_00545850,671
13872,TTHERM_00545840,671
13915,TTHERM_00540420,671
13912,TTHERM_00527360,671
13911,TTHERM_00526940,671
13869,TTHERM_00522830,671
13906,TTHERM_00497850,671
13889,TTHERM_00494610,671
13919,TTHERM_00467940,671
13900,TTHERM_00463620,671
13914,TTHERM_00463610,671
13899,TTHERM_00463170,671
13886,TTHERM_00456860,671
13898,TTHERM_00424470,671
13917,TTHERM_00370740,671
13878,TTHERM_00338030,671
13913,TTHERM_00312880,671
13910,TTHERM_00298450,671
13892,TTHERM_00298340,671
13865,TTHERM_00285490,671
13908,TTHERM_00283220,671
13891,TTHERM_00252280,671
13864,TTHERM_00219439,671
13905,TTHERM_00219210,671
13903,TTHERM_00214800,671
13860,TTHERM_00214710,671
13863,TTHERM_00205180,671
13896,TTHERM_00195930,671
13880,TTHERM_00194430,671
13897,TTHERM_00191510,671
13870,TTHERM_00157850,671
13876,TTHERM_00129660,671
13895,TTHERM_00123590,671
13893,TTHERM_00106820,671
13885,TTHERM_00101320,671
13888,TTHERM_00086740,671
13874,TTHERM_000812919,671
13884,TTHERM_00079330,671
13881,TTHERM_00077429,671
13877,TTHERM_000551202,671
13873,TTHERM_000420689,671
13871,TTHERM_000219449,671
13868,TTHERM_00013530,671
13862,TTHERM_00011780,671
18157,TTHERM_01016000,670
18163,TTHERM_00849370,670
18156,TTHERM_00641280,670
18162,TTHERM_00486180,670
18160,TTHERM_00455510,670
18155,TTHERM_00446220,670
18161,TTHERM_00313670,670
18159,TTHERM_00292130,670
18158,TTHERM_000497409,670
18154,TTHERM_00002690,670
18818,TTHERM_01246760,669
18824,TTHERM_00821830,669
18822,TTHERM_00522280,669
18823,TTHERM_00305580,669
18820,TTHERM_00145660,669
18821,TTHERM_00034990,669
18819,TTHERM_000279858,669
20255,TTHERM_00822050,668
20256,TTHERM_00158190,668
19600,TTHERM_01013310,667
19604,TTHERM_00760780,667
19603,TTHERM_00755980,667
19602,TTHERM_00655920,667
19601,TTHERM_00467470,667
20069,TTHERM_00757780,666
20070,TTHERM_00683150,666
20071,TTHERM_00633180,666
20191,TTHERM_00622660,665
20189,TTHERM_00564270,665
20190,TTHERM_00440630,665
16924,TTHERM_01496780,664
16934,TTHERM_01126420,664
16930,TTHERM_01027500,664
16923,TTHERM_00581460,664
16920,TTHERM_00492950,664
16925,TTHERM_00469120,664
16932,TTHERM_00420870,664
16921,TTHERM_00310130,664
16933,TTHERM_00310110,664
16929,TTHERM_00299710,664
16928,TTHERM_00290920,664
16927,TTHERM_00245450,664
16931,TTHERM_00155400,664
16926,TTHERM_00151130,664
16919,TTHERM_00138410,664
16922,TTHERM_00083840,664
16918,TTHERM_00004810,664
20077,TTHERM_00169120,663
20076,TTHERM_00125760,663
20075,TTHERM_00125740,663
20310,TTHERM_00782110,662
20309,TTHERM_00024280,662
18776,TTHERM_01512230,661
18781,TTHERM_01085660,661
18775,TTHERM_00845880,661
18778,TTHERM_00713420,661
18780,TTHERM_00497520,661
18779,TTHERM_00494230,661
18777,TTHERM_00239350,661
18774,TTHERM_00136330,661
20016,TTHERM_00327130,660
20017,TTHERM_00295872,660
20015,TTHERM_000165083,660
18906,TTHERM_01084120,659
18905,TTHERM_00713200,659
18904,TTHERM_00685950,659
18908,TTHERM_00585430,659
18907,TTHERM_00410160,659
18903,TTHERM_00180960,659
18902,TTHERM_00011350,659
10548,TTHERM_02653470,658
10689,TTHERM_02008420,658
10688,TTHERM_01440780,658
10516,TTHERM_01372820,658
10614,TTHERM_01358400,658
10641,TTHERM_01332070,658
10648,TTHERM_01321630,658
10647,TTHERM_01321570,658
10498,TTHERM_01321550,658
10559,TTHERM_01251190,658
10616,TTHERM_01220400,658
10612,TTHERM_01216140,658
10572,TTHERM_01213910,658
10672,TTHERM_01197130,658
10615,TTHERM_01195960,658
10631,TTHERM_01165230,658
10535,TTHERM_01156770,658
10677,TTHERM_01156760,658
10594,TTHERM_01143870,658
10682,TTHERM_01122800,658
10670,TTHERM_01106040,658
10623,TTHERM_01093580,658
10526,TTHERM_01084110,658
10660,TTHERM_01071420,658
10667,TTHERM_01068300,658
10686,TTHERM_01054320,658
10639,TTHERM_01049340,658
10531,TTHERM_01006570,658
10619,TTHERM_01005050,658
10589,TTHERM_01002670,658
10626,TTHERM_01001520,658
10673,TTHERM_00999130,658
10628,TTHERM_00997740,658
10571,TTHERM_00954170,658
10547,TTHERM_00942660,658
10544,TTHERM_00938970,658
10515,TTHERM_00938950,658
10685,TTHERM_00927200,658
10656,TTHERM_00884570,658
10687,TTHERM_00884540,658
10546,TTHERM_00853070,658
10650,TTHERM_00852790,658
10503,TTHERM_00842390,658
10651,TTHERM_00787390,658
10570,TTHERM_00773710,658
10538,TTHERM_00773700,658
10499,TTHERM_00770780,658
10681,TTHERM_00760360,658
10509,TTHERM_00755930,658
10684,TTHERM_00721690,658
10560,TTHERM_00721570,658
10514,TTHERM_00721270,658
10653,TTHERM_00715730,658
10643,TTHERM_00709730,658
10671,TTHERM_00703870,658
10661,TTHERM_00697290,658
10678,TTHERM_00691410,658
10662,TTHERM_00689990,658
10539,TTHERM_00689880,658
10580,TTHERM_00685980,658
10563,TTHERM_00678400,658
10588,TTHERM_00670750,658
10620,TTHERM_00660300,658
10683,TTHERM_00658810,658
10502,TTHERM_00652540,658
10522,TTHERM_00649480,658
10676,TTHERM_00649180,658
10576,TTHERM_00633020,658
10579,TTHERM_00632940,658
10596,TTHERM_00630500,658
