Chip,Time,Replicate
Ll_GSM283687,1,1
Ll_GSM284355,1,1
Ll_GSM284362,1,1
Lm_GSM283690,2,2
Lm_GSM284357,2,2
Lm_GSM284363,2,2
Lh_GSM283691,3,3
Lh_GSM284360,3,3
Lh_GSM284364,3,3
S0_GSM285363,4,4
S0_GSM285554,4,4
S0_GSM285561,4,4
S0_GSM647244,4,4
S3_GSM285542,5,5
S3_GSM285555,5,5
S3_GSM285562,5,5
S6_GSM285543,6,6
S6_GSM285556,6,6
S6_GSM285563,6,6
S9_GSM285544,7,7
S9_GSM285557,7,7
S9_GSM285564,7,7
S12_GSM285545,8,8
S12_GSM285558,8,8
S12_GSM285565,8,8
S15_GSM285546,9,9
S15_GSM285559,9,9
S15_GSM285566,9,9
S24_GSM285547,10,10
S24_GSM285560,10,10
S24_GSM285567,10,10
S24_GSM647245,10,10
C0_GSM285570,11,11
C0_GSM285586,11,11
C0_GSM656230,11,11
C2_GSM285572,12,12
C2_GSM285587,12,12
C2_GSM656233,12,12
C4_GSM285574,13,13
C4_GSM285588,13,13
C4_GSM656234,13,13
C6_GSM285575,14,14
C6_GSM285589,14,14
C6_GSM656232,14,14
C8_GSM285576,15,15
C8_GSM285590,15,15
C8_GSM656236,15,15
C10_GSM285578,16,16
C10_GSM285591,16,16
C10_GSM656235,16,16
C12_GSM285579,17,17
C12_GSM285592,17,17
C12_GSM656237,17,17
C14_GSM285580,18,18
C14_GSM285593,18,18
C14_GSM656238,18,18
C16_GSM285582,19,19
C16_GSM285595,19,19
C16_GSM656239,19,19
C18_GSM285583,20,20
C18_GSM285596,20,20
C18_GSM656240,20,20
