TTHERM_ID,000min_A,000min_B,030min_A,030min_B,060min_A,060min_B,090min_A,090min_B,120min_A,120min_B,150min_A,150min_B,180min_A,180min_B,210min_A,210min_B,240min_A,240min_B
TTHERM_00000010,2.39275,0.710646,2.9364,1.48174,0.552868,0.531153,0.187647,0.396045,0.230034,0.328534,0.314569,0.34815,0.453546,0.433522,0.365727,0.498008,0.48,0.551144
TTHERM_00000020,0.0653122,0.017114,0.105053,0.025751,0.0654522,0.0681163,0.0924206,0.00614883,0.126519,0.045266,0.111743,0.0299809,0.0311239,0.0684267,0.0906994,0.0523949,0.25001,0.0789068
TTHERM_00000030,0.306585,0.029759,0.021479,0.0,0.0,0.0091063,0.0247197,0.0267183,0.0122219,0.0147589,0.0194324,0.0104272,0.0108179,0.0270285,0.0286514,0.00568922,0.0246869,0.0105514
TTHERM_00000040,2.24231,2.53487,1.45083,1.60254,1.70166,1.87189,1.80776,2.01403,2.02074,2.2187,2.18628,2.39947,1.93851,2.39812,1.82427,1.92591,1.77257,2.1606
TTHERM_00000047,0.124883,0.0618404,0.133771,0.143597,0.162613,0.186829,0.412327,0.489517,0.985978,0.689203,1.83406,0.703661,1.90224,1.06951,0.618985,1.03319,0.209819,0.622642
TTHERM_00000053,9.85874,7.15906,9.7625,8.3868,7.49211,6.00595,5.7484,6.51522,6.13811,5.44526,5.93704,4.82742,6.00571,6.35854,6.94786,6.89756,6.79823,6.71464
TTHERM_00000059,0.0877992,0.190614,0.0840582,0.0865674,0.0884567,0.142447,0.0477107,0.0,0.0,0.188609,0.0494594,0.0399283,0.0,0.0845417,0.0,0.0,0.155149,0.0410366
TTHERM_00000070,91.7091,91.7481,154.015,147.253,122.662,110.955,63.8013,85.6744,44.3122,65.0177,36.3696,61.2165,40.978,53.4612,54.3173,48.2698,77.6285,54.624
TTHERM_00001080,6.33667,9.86265,16.7823,25.5213,8.1773,14.1488,8.85516,13.1371,10.7075,15.7439,9.0651,14.9943,6.77862,11.4613,8.99098,9.10186,12.6738,10.7474
TTHERM_00001090,0.8149,0.702948,1.11664,1.18557,0.787852,0.935569,0.886988,0.909141,1.01797,0.948093,0.829633,0.907589,0.600976,0.681269,0.502079,0.599871,0.643603,0.589869
TTHERM_00001120,25.3755,20.0122,11.9901,16.6725,8.54285,12.8819,12.3327,14.2809,18.748,17.42,24.6267,19.0433,29.3356,23.0734,24.973,26.277,20.2343,22.7266
TTHERM_00001131,0.150408,0.392711,0.0,0.0741777,0.126085,0.263306,0.0818873,0.189847,0.188245,0.237803,0.170559,0.160356,0.14445,0.168299,0.224454,0.306148,0.021986,0.303753
TTHERM_00001150,11.5432,8.89901,8.8771,6.46319,9.90134,6.59181,10.7609,6.93074,9.50863,7.07739,10.7123,6.9618,10.0945,7.60497,9.8272,8.6702,7.90426,8.51567
TTHERM_00001160,1.30677,1.16838,1.13464,1.27797,1.02899,0.92134,0.891078,1.02874,1.08374,1.17216,1.42734,1.12548,2.30518,1.53433,2.19932,1.94032,1.3704,1.78113
TTHERM_00001170,0.258663,0.191796,0.270375,0.115878,0.0981329,0.0471096,0.0981147,0.0663597,0.139246,0.0781402,0.116316,0.0540099,0.0671513,0.111869,0.0740653,0.0862723,0.0885418,0.0800992
TTHERM_00001180,1.59861,1.04139,0.878689,0.805693,0.782229,0.649645,0.727711,0.771979,0.930164,0.869475,1.0505,0.854607,1.13072,0.985446,1.1962,0.953291,1.04655,1.08529
