target_id	length	eff_length	est_counts	tpm
TTHERM_00161861	420	231.519	34	1.33043
TTHERM_00161860	4356	4164.35	12210	26.5624
TTHERM_00161850	1200	1008.35	2410	21.6523
TTHERM_00161840	498	307.481	2818	83.0277
TTHERM_00161830	1077	885.355	1241	12.6986
TTHERM_00161820	12579	12387.4	3756	2.74692
TTHERM_00161810	1179	987.355	1	0.00917543
TTHERM_00161800	2253	2061.35	5	0.0219744
TTHERM_00161879	501	310.481	3	0.0875359
TTHERM_00161790	1458	1266.35	211	1.50948
TTHERM_00161780	699	507.411	342	6.10612
TTHERM_00161759	2763	2571.35	1974	6.9548
TTHERM_00161760	408	219.931	18	0.741456
TTHERM_00161750	1083	891.355	2780	28.2549
TTHERM_00161740	1548	1356.35	2238	14.9481
TTHERM_00161720	11100	10908.4	3131	2.6003
TTHERM_00161709	438	248.953	0	0
TTHERM_00161700	2685	2493.35	94	0.341541
TTHERM_00161690	2991	2799.35	1640	5.30745
TTHERM_00161680	3873	3681.35	120	0.295307
TTHERM_00161670	4260	4068.35	19	0.0423092
TTHERM_00161660	432	243.089	1151	42.8953
TTHERM_00161650	555	363.85	582	14.4911
TTHERM_00161640	1821	1629.35	722	4.01441
TTHERM_00161630	768	576.384	361	5.67407
TTHERM_00161620	633	441.552	1470	30.1603
TTHERM_00161578	1674	1482.35	35	0.213902
TTHERM_00161579	585	393.698	301	6.92632
TTHERM_00161580	1806	1614.35	215	1.20653
TTHERM_00161570	2310	2118.35	135	0.577344
TTHERM_00161560	930	738.355	634	7.779
TTHERM_00161539	1347	1155.35	1967	15.4237
TTHERM_00161540	675	483.46	1808	33.8795
TTHERM_00161530	660	468.484	2045	39.5456
TTHERM_00161525	270	96.5143	0	0
TTHERM_00161520	474	283.91	48	1.53165
TTHERM_00161510	468	278.136	28	0.912012
TTHERM_00161500	1773	1581.35	372	2.13115
TTHERM_00161490	561	369.832	583	14.2812
TTHERM_00161480	258	87.1152	2710	281.822
TTHERM_00161459	690	498.411	808	14.6867
TTHERM_00161460	882	690.355	266	3.49067
TTHERM_00161450	5973	5781.35	141	0.220948
TTHERM_00161430	1278	1086.35	280	2.335
