target_id	length	eff_length	est_counts	tpm
TTHERM_00161861	420	230.627	20	0.78886
TTHERM_00161860	4356	4163.05	16724	36.5434
TTHERM_00161850	1200	1007.05	2287	20.6584
TTHERM_00161840	498	306.293	1704	50.6073
TTHERM_00161830	1077	884.048	1179	12.1316
TTHERM_00161820	12579	12386	3190	2.34281
TTHERM_00161810	1179	986.048	6	0.055352
TTHERM_00161800	2253	2060.05	4	0.0176629
TTHERM_00161879	501	309.246	4	0.117662
TTHERM_00161790	1458	1265.05	302	2.1716
TTHERM_00161780	699	506.048	202	3.63111
TTHERM_00161759	2763	2570.05	2094	7.41166
TTHERM_00161760	408	219.171	160	6.64074
TTHERM_00161750	1083	890.048	3865	39.5017
TTHERM_00161740	1548	1355.05	1590	10.6739
TTHERM_00161720	11100	10907	3080	2.56876
TTHERM_00161709	438	247.978	0	0
TTHERM_00161700	2685	2492.05	255	0.930816
TTHERM_00161690	2991	2798.05	2137	6.94751
TTHERM_00161680	3873	3680.05	102	0.252131
TTHERM_00161670	4260	4067.05	13	0.0290766
TTHERM_00161660	432	242.126	1216	45.6848
TTHERM_00161650	555	362.586	418	10.4868
TTHERM_00161640	1821	1628.05	614	3.43069
TTHERM_00161630	768	575.048	431	6.81794
TTHERM_00161620	633	440.096	726	15.0061
TTHERM_00161578	1674	1481.05	16	0.0982722
TTHERM_00161579	585	392.305	558	12.9387
TTHERM_00161580	1806	1613.05	143	0.806434
TTHERM_00161570	2310	2117.05	18	0.0773431
TTHERM_00161560	930	737.048	572	7.0596
TTHERM_00161539	1347	1154.05	2629	20.7227
TTHERM_00161540	675	482.096	1208	22.7936
TTHERM_00161530	660	467.096	990	19.2801
TTHERM_00161525	270	96.5521	0	0
TTHERM_00161520	474	282.705	10	0.321771
TTHERM_00161510	468	276.901	85	2.79238
TTHERM_00161500	1773	1580.05	155	0.892363
TTHERM_00161490	561	368.477	195	4.81398
TTHERM_00161480	258	87.2205	200	20.8589
TTHERM_00161459	690	497.048	1181	21.6138
TTHERM_00161460	882	689.048	105	1.38618
TTHERM_00161450	5973	5780.05	197	0.310038
TTHERM_00161430	1278	1085.05	92	0.771292
TTHERM_00161419	1182	989.048	149	1.37041
TTHERM_00161420	1800	1607.05	3226	18.2606
TTHERM_00161410	2040	1847.05	61	0.300422
TTHERM_00161390	4023	3830.05	418	0.992778
TTHERM_00161370	1704	1511.05	230	1.38462
TTHERM_00161340	4080	3887.05	681	1.5937
TTHERM_00161330	3186	2993.05	52	0.158041
TTHERM_00161297	282	106.317	119	10.1818
TTHERM_00161298	1368	1175.05	67	0.51868
TTHERM_00161299	570	377.421	7	0.168714
TTHERM_00161300	5406	5213.05	73	0.127383
TTHERM_00161290	2874	2681.05	283	0.9602
TTHERM_00161279	2964	2771.05	236	0.774726
TTHERM_00161280	2985	2792.05	121	0.394223
TTHERM_00161270	648	455.096	1162	23.2265
TTHERM_00161260	1359	1166.05	4940	38.5381
TTHERM_00161250	1353	1160.05	15159	118.871
TTHERM_00161230	2577	2384.05	1208	4.60927
TTHERM_00161220	2370	2177.05	386	1.61287
TTHERM_00161210	519	326.913	8459	235.379
TTHERM_00161200	270	96.5521	23913	2252.95
TTHERM_00161180	1272	1079.05	2849	24.0177
TTHERM_00161170	633	440.096	791	16.3497
TTHERM_00161160	1206	1013.05	18	0.16163
TTHERM_00161150	1272	1079.05	185	1.55959
TTHERM_00161140	1257	1064.05	197	1.68417
TTHERM_00161130	975	782.048	94608	1100.46
TTHERM_00161120	2424	2231.05	512	2.08757
TTHERM_00161110	1659	1466.05	154	0.955548
TTHERM_00161100	3477	3284.05	185	0.512439
TTHERM_00161090	1590	1397.05	336	2.1878
TTHERM_00161070	1212	1019.05	1845	16.4696
TTHERM_00161060	381	193.696	101032	4744.8
TTHERM_00161050	1527	1334.05	2735	18.6494
TTHERM_00161029	1785	1592.05	112	0.639944
TTHERM_00161030	1686	1493.05	448	2.72951
TTHERM_00161031	426	236.344	5	0.192445
TTHERM_00160999	456	265.254	81544	2796.47
TTHERM_00161000	369	182.572	13498	672.535
TTHERM_00160990	2208	2015.05	2810	12.6853
TTHERM_00160980	2232	2039.05	185	0.825324
TTHERM_00160970	2679	2486.05	248	0.907449
TTHERM_00160960	924	731.048	11866	147.652
TTHERM_00160950	3513	3320.05	498	1.36447
TTHERM_00160930	1521	1328.05	1111	7.60992
TTHERM_00160920	2745	2552.05	36	0.12832
TTHERM_00160910	528	335.879	201	5.44368
TTHERM_00160868	570	377.421	157	3.78402
TTHERM_00160869	852	659.048	2235	30.849
TTHERM_00160870	4725	4532.05	49	0.0983516
TTHERM_00160860	3444	3251.05	620	1.7348
TTHERM_00160849	1848	1655.05	814	4.47398
TTHERM_00160850	3318	3125.05	22	0.0640392
TTHERM_00160840	876	683.048	404	5.38035
TTHERM_00160830	3207	3014.05	240	0.724338
TTHERM_00160820	1203	1010.05	47	0.423288
TTHERM_00160810	1179	986.048	2454	22.639
TTHERM_00160799	372	185.327	0	0
TTHERM_00160800	1179	986.048	11	0.101479
TTHERM_00160795	360	174.368	0	0
TTHERM_00160790	1230	1037.05	1411	12.3768
TTHERM_00160780	3924	3731.05	64	0.156038
TTHERM_00160775	468	276.901	0	0
TTHERM_00160770	753	560.048	33541	544.792
TTHERM_00160769	300	121.538	1339	100.219
TTHERM_00160760	750	557.048	9	0.14697
TTHERM_00160750	744	551.048	6671	110.124
TTHERM_00160740	1845	1652.05	12	0.0660752
TTHERM_00160719	1038	845.048	137	1.47475
TTHERM_00160720	3192	2999.05	892	2.70559
TTHERM_00160710	2085	1892.05	2075	9.97622
TTHERM_00160700	1791	1598.05	926	5.2711
TTHERM_00160690	309	129.165	5181	364.878
TTHERM_00160680	1866	1673.05	4641	25.2338
TTHERM_00160670	1803	1610.05	4704	26.5772
TTHERM_00160660	1095	902.048	418	4.21528
TTHERM_00160650	945	752.048	29	0.350778
TTHERM_00160640	939	746.048	15	0.182896
TTHERM_00160630	897	704.048	11	0.142125
TTHERM_00160620	1197	1004.05	462	4.18569
TTHERM_00160610	1842	1649.05	78	0.43027
TTHERM_00160603	1677	1484.05	29	0.177758
TTHERM_00160600	2538	2345.05	5	0.0193954
TTHERM_00160595	2187	1994.05	12	0.0547426
TTHERM_00160590	2484	2291.05	8	0.031764
TTHERM_00160580	2853	2660.05	168	0.574513
TTHERM_00160559	3579	3386.05	296	0.795204
TTHERM_00160560	801	608.048	249	3.72513
TTHERM_00160550	6921	6728.05	2604	3.52072
TTHERM_00160539	636	443.096	6	0.123178
TTHERM_00160540	630	437.096	1	0.0208115
TTHERM_00158528	624	431.096	3	0.0633034
TTHERM_00158529	639	446.096	19	0.387441
TTHERM_00158530	741	548.048	12	0.199179
TTHERM_00158525	126	12.7751	0	0
TTHERM_00188520	2121	1928.05	143032	674.832
TTHERM_00158510	1860	1667.05	59	0.321947
TTHERM_00158500	2022	1829.05	61	0.303378
TTHERM_00158490	1479	1286.05	250	1.76833
TTHERM_00158480	1791	1598.05	409	2.32816
TTHERM_00158459	2130	1937.05	162	0.760772
TTHERM_00158460	2937	2744.05	394	1.30612
TTHERM_00158450	1770	1577.05	1235	7.12364
TTHERM_00158440	1008	815.048	7	0.0781259
TTHERM_00158430	3966	3773.05	55	0.132602
TTHERM_00158420	3816	3623.05	988	2.48063
TTHERM_00158388	114	12.5953	0	0
TTHERM_00158389	1242	1049.05	170	1.47412
TTHERM_00158390	342	158.203	445	25.5873
TTHERM_00158380	4938	4745.05	128	0.245386
TTHERM_00158370	1821	1628.05	773	4.31909
TTHERM_00158368	543	350.622	10	0.259443
TTHERM_00158360	519	326.913	1771	49.2795
TTHERM_00158340	5007	4814.05	381	0.719937
TTHERM_00158330	3495	3302.05	3	0.00826452
TTHERM_00158320	3546	3353.05	1750	4.74764
TTHERM_00158310	2364	2171.05	20	0.0837993
TTHERM_00158289	1173	980.048	66	0.6126
TTHERM_00158290	1887	1694.05	430	2.30899
TTHERM_00158280	750	557.048	414	6.76064
TTHERM_00158270	459	268.12	1916	65.0048
TTHERM_00158260	7560	7367.05	257	0.317336
TTHERM_00158239	1482	1289.05	11	0.0776254
TTHERM_00158240	3414	3221.05	439	1.23979
TTHERM_00158230	798	605.048	933	14.0272
TTHERM_00158220	4968	4775.05	179	0.341001
TTHERM_00158210	759	566.048	6184	99.3794
TTHERM_00158200	690	497.048	152	2.7818
TTHERM_00158190	1398	1205.05	3346	25.2582
TTHERM_00158180	2463	2270.05	415	1.663
TTHERM_00158170	1263	1070.05	137	1.16466
TTHERM_00158160	2076	1883.05	43	0.207724
TTHERM_00158150	2292	2099.05	170	0.736727
TTHERM_00158148	1245	1052.05	0	0
TTHERM_00158140	1254	1061.05	0	0
TTHERM_00158120	594	401.285	0	0
TTHERM_00158110	1218	1025.05	0	0
TTHERM_00158100	702	509.048	0	0
TTHERM_00158080	1086	893.048	0	0
TTHERM_00158075	378	190.981	0	0
TTHERM_00108060	411	222.015	0	0
TTHERM_00158049	1854	1661.05	160	0.876229
TTHERM_00158050	1947	1754.05	550	2.85234
TTHERM_00158040	558	365.532	34080	848.115
TTHERM_00158019	2352	2159.05	8	0.033706
TTHERM_00158020	1326	1133.05	3880	31.1504
TTHERM_00158010	1038	845.048	6	0.0645877
TTHERM_00158005	363	177.088	0	0
TTHERM_00158000	678	485.072	12186	228.526
TTHERM_00157980	1008	815.048	169	1.88618
TTHERM_00157959	1746	1553.05	730	4.27581
TTHERM_00157960	291	113.877	45	3.59465
TTHERM_00157950	4629	4436.05	961	1.97064
TTHERM_00157929	1524	1331.05	4238	28.9632
TTHERM_00157930	2475	2282.05	827	3.29656
TTHERM_00157910	1734	1541.05	24	0.141669
TTHERM_00157889	1473	1280.05	4940	35.106
TTHERM_00157890	5247	5054.05	653	1.17531
TTHERM_00157885	1353	1160.05	1	0.00784159
TTHERM_00157880	942	749.048	308	3.74043
TTHERM_00157849	10104	9911.05	234	0.214771
TTHERM_00157850	7101	6908.05	268	0.352906
TTHERM_00157830	1278	1085.05	182	1.52582
TTHERM_00157809	1569	1376.05	1856	12.2694
TTHERM_00157810	591	398.305	7327	167.336
TTHERM_00157800	1458	1265.05	1203	8.65045
TTHERM_00157789	720	527.048	70	1.20817
TTHERM_00157790	2481	2288.05	376	1.49487
TTHERM_00156767	237	71.3687	0	0
TTHERM_00156768	648	455.096	0	0
TTHERM_00156769	438	247.978	0	0
TTHERM_00156770	1779	1586.05	0	0
TTHERM_00156760	954	761.048	54	0.645449
TTHERM_00156719	1059	866.048	3176	33.3594
TTHERM_00156718	327	144.711	209	13.1379
TTHERM_00156699	501	309.246	0	0
TTHERM_00156700	918	725.048	1142	14.3278
TTHERM_00156690	8112	7919.05	323	0.37103
TTHERM_00156680	1488	1295.05	63	0.442522
TTHERM_00156670	1503	1310.05	76	0.527723
TTHERM_00156669	1476	1283.05	68	0.48211
