TTHERM_ID	module	TGD2021_description	eggNOG_description	eggNOG_preferred_name	max_annot_lvl	COG_category	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
TTHERM_00641120	m0515	PCI-domain protein	protein deneddylation	COPS7B	2759|Eukaryota	O	GO:0000003,GO:0000338,GO:0000715,GO:0000909,GO:0002009,GO:0003006,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006283,GO:0006289,GO:0006464,GO:0006508,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007275,GO:0007276,GO:0007281,GO:0007282,GO:0007283,GO:0007292,GO:0007293,GO:0008150,GO:0008152,GO:0008180,GO:0008283,GO:0008356,GO:0009653,GO:0009888,GO:0009987,GO:0010387,GO:0016043,GO:0016333,GO:0019538,GO:0019827,GO:0019953,GO:0022412,GO:0022414,GO:0022607,GO:0030154,GO:0030582,GO:0030584,GO:0030718,GO:0030727,GO:0031647,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032504,GO:0032991,GO:0033554,GO:0034399,GO:0034622,GO:0034641,GO:0036099,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043687,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0046483,GO:0048134,GO:0048135,GO:0048138,GO:0048140,GO:0048142,GO:0048232,GO:0048468,GO:0048477,GO:0048608,GO:0048609,GO:0048646,GO:0048729,GO:0048731,GO:0048856,GO:0048869,GO:0050821,GO:0050896,GO:0051276,GO:0051301,GO:0051704,GO:0051716,GO:0060429,GO:0061458,GO:0065003,GO:0065007,GO:0065008,GO:0070013,GO:0070646,GO:0070647,GO:0070791,GO:0071704,GO:0071840,GO:0075259,GO:0090304,GO:0098727,GO:1901360,GO:1901564	3.6.4.13	ko:K12180,ko:K12818	ko03040,map03040	-	-	-	ko00000,ko00001,ko01000,ko03041,ko04121	-	-	-
TTHERM_00535150	m0515	HEM1 protozoan/cyanobacterial globin family protein	Protozoan cyanobacterial globin family protein	-	5878|Ciliophora	C	-	-	-	-	-	-	-	-	-	-	-
TTHERM_00399420	m0515	ubiquitin family protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TTHERM_00316530	m0515	PUP3 proteasome subunit beta type protein	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH	-	5878|Ciliophora	O	-	3.4.25.1	ko:K02735	ko03050,map03050	M00337,M00340	-	-	ko00000,ko00001,ko00002,ko01000,ko01002,ko03051	-	-	-
TTHERM_00147560	m0515	PRE1 proteasome subunit beta type protein	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH	-	5878|Ciliophora	O	-	3.4.25.1	ko:K02734	ko03050,map03050	M00337,M00340	-	-	ko00000,ko00001,ko00002,ko01000,ko01002,ko03051	-	-	-
TTHERM_001080489	m0515	transmembrane protein putative	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TTHERM_00106960	m0515	SCL1 proteasome subunit alpha type protein	Proteasome subunit A N-terminal signature	-	5878|Ciliophora	O	-	3.4.25.1	ko:K02730	ko03050,map03050	M00337,M00340	-	-	ko00000,ko00001,ko00002,ko01000,ko01002,ko03051	-	-	-
TTHERM_00030440	m0515	PRE3 proteasome subunit beta type protein	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH	-	5878|Ciliophora	O	-	3.4.25.1	ko:K02738	ko03050,map03050	M00340	-	-	ko00000,ko00001,ko00002,ko01000,ko01002,ko03051	-	-	-
YF00031774.t1	m0514	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YF00017975.t1	m0514	-	Histidine phosphatase superfamily (branch 1)	-	5878|Ciliophora	S	-	-	-	-	-	-	-	-	-	-	-
YF00009263.t1	m0514	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TTHERM_01337360	m0514	PX-SNX-like domain protein	PhoX homologous domain, present in p47phox and p40phox.	-	5878|Ciliophora	U	-	-	-	-	-	-	-	-	-	-	-
TTHERM_00794300	m0514	PAC2 family protein	proteasome assembly	PSMG2	33208|Metazoa	O	GO:0000075,GO:0000278,GO:0000502,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0007049,GO:0007088,GO:0007093,GO:0007094,GO:0007346,GO:0008150,GO:0009987,GO:0010564,GO:0010639,GO:0010941,GO:0010948,GO:0010965,GO:0016043,GO:0022402,GO:0022607,GO:0030071,GO:0031577,GO:0032991,GO:0033043,GO:0033044,GO:0033045,GO:0033046,GO:0033047,GO:0033048,GO:0034622,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043248,GO:0043933,GO:0044085,GO:0044424,GO:0044444,GO:0044464,GO:0045786,GO:0045839,GO:0045841,GO:0045930,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051128,GO:0051129,GO:0051726,GO:0051783,GO:0051784,GO:0051983,GO:0051985,GO:0060548,GO:0065003,GO:0065007,GO:0071173,GO:0071174,GO:0071840,GO:1901987,GO:1901988,GO:1901990,GO:1901991,GO:1902099,GO:1902100,GO:1902494,GO:1903047,GO:1905368,GO:1905369,GO:1905818,GO:1905819,GO:2000816,GO:2001251	-	ko:K11876	-	-	-	-	ko00000,ko03051	-	-	-
TTHERM_00191240	m0514	RPN7 26S proteasome non-ATPase regulatory subunit 6	26S proteasome subunit RPN7	-	5878|Ciliophora	O	-	-	ko:K03037	ko03050,ko05169,map03050,map05169	M00341	-	-	ko00000,ko00001,ko00002,ko03051	-	-	-
TTHERM_00188860	m0514	26S proteasome non-ATPase regulatory subunit 9 putative	26S Proteasome non-ATPase regulatory subunit	-	5878|Ciliophora	O	-	-	ko:K06693	-	-	-	-	ko00000,ko03051	-	-	-
TTHERM_00158210	m0514	PRE5 proteasome subunit alpha type protein	Proteasome subunit A N-terminal signature  Add an annotation	-	5878|Ciliophora	O	-	3.4.25.1	ko:K02725	ko03050,map03050	M00337,M00340	-	-	ko00000,ko00001,ko00002,ko01000,ko01002,ko03051,ko04147	-	-	-
TTHERM_00043880	m0514	PUP2 proteasome subunit alpha type protein	Proteasome subunit A N-terminal signature  Add an annotation	-	5878|Ciliophora	O	-	3.4.25.1	ko:K02729	ko03050,map03050	M00337,M00340	-	-	ko00000,ko00001,ko00002,ko01000,ko01002,ko03051	-	-	-
YF00026365.t1	m0219	-	AAA domain (Cdc48 subfamily)	-	5878|Ciliophora	O	-	-	ko:K03063	ko03050,ko05169,map03050,map05169	M00341	-	-	ko00000,ko00001,ko00002,ko03051	-	-	-
TTHERM_01094790	m0219	ubiquitin carboxy-terminal hydrolase	thiol-dependent ubiquitin-specific protease activity	usp40	2759|Eukaryota	O	-	3.4.19.12	ko:K11869	-	-	-	-	ko00000,ko01000,ko01002,ko04121	-	-	-
TTHERM_00551090	m0219	RPT6 26S proteasome ATPase regulatory subunit 6	Holliday junction DNA helicase ruvB N-terminus	-	5878|Ciliophora	O	-	-	ko:K03066	ko03050,ko05169,map03050,map05169	M00341	-	-	ko00000,ko00001,ko00002,ko03051	-	-	-
TTHERM_00492440	m0219	peptidase C65 otubain protein	Peptidase C65 Otubain	-	5878|Ciliophora	O	-	3.4.19.12	ko:K09602	-	-	-	-	ko00000,ko01000,ko01002,ko04121	-	-	-
TTHERM_00476810	m0219	Mov34/MPN/PAD-1 family: proteasomal regulatory protein rpn11 and signalosome complex protein	JAB1/Mov34/MPN/PAD-1 ubiquitin protease	COPS5	33208|Metazoa	OT	GO:0000003,GO:0000338,GO:0000578,GO:0000715,GO:0000902,GO:0000904,GO:0001654,GO:0001745,GO:0001751,GO:0001754,GO:0001932,GO:0002009,GO:0002682,GO:0002683,GO:0003002,GO:0003006,GO:0003674,GO:0003676,GO:0003712,GO:0003713,GO:0003723,GO:0003743,GO:0003824,GO:0004843,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005667,GO:0005737,GO:0005829,GO:0005852,GO:0006139,GO:0006259,GO:0006281,GO:0006283,GO:0006289,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006412,GO:0006413,GO:0006464,GO:0006508,GO:0006518,GO:0006725,GO:0006807,GO:0006810,GO:0006887,GO:0006928,GO:0006950,GO:0006974,GO:0006996,GO:0007275,GO:0007276,GO:0007281,GO:0007282,GO:0007283,GO:0007292,GO:0007293,GO:0007308,GO:0007309,GO:0007310,GO:0007314,GO:0007350,GO:0007351,GO:0007389,GO:0007399,GO:0007409,GO:0007423,GO:0007548,GO:0008021,GO:0008022,GO:0008135,GO:0008150,GO:0008152,GO:0008180,GO:0008233,GO:0008234,GO:0008237,GO:0008283,GO:0008285,GO:0008347,GO:0008356,GO:0008358,GO:0008406,GO:0008595,GO:0009058,GO:0009059,GO:0009653,GO:0009790,GO:0009798,GO:0009880,GO:0009887,GO:0009888,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009895,GO:0009896,GO:0009948,GO:0009950,GO:0009952,GO:0009953,GO:0009966,GO:0009987,GO:0009994,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010605,GO:0010628,GO:0010646,GO:0010941,GO:0012505,GO:0016043,GO:0016070,GO:0016192,GO:0016333,GO:0016477,GO:0016579,GO:0016787,GO:0017151,GO:0018130,GO:0019219,GO:0019220,GO:0019222,GO:0019438,GO:0019538,GO:0019783,GO:0019784,GO:0019827,GO:0019899,GO:0019953,GO:0019955,GO:0021700,GO:0022008,GO:0022412,GO:0022414,GO:0023051,GO:0030016,GO:0030017,GO:0030030,GO:0030133,GO:0030154,GO:0030162,GO:0030182,GO:0030718,GO:0030727,GO:0031175,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031330,GO:0031331,GO:0031399,GO:0031410,GO:0031647,GO:0031672,GO:0031974,GO:0031981,GO:0031982,GO:0032268,GO:0032269,GO:0032270,GO:0032434,GO:0032435,GO:0032501,GO:0032502,GO:0032504,GO:0032774,GO:0032872,GO:0032940,GO:0032989,GO:0032990,GO:0032991,GO:0033554,GO:0034399,GO:0034641,GO:0034645,GO:0034654,GO:0035203,GO:0035204,GO:0035206,GO:0035207,GO:0035282,GO:0035718,GO:0036099,GO:0036211,GO:0036459,GO:0040011,GO:0042063,GO:0042127,GO:0042176,GO:0042177,GO:0042325,GO:0042981,GO:0043043,GO:0043066,GO:0043067,GO:0043069,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043292,GO:0043408,GO:0043412,GO:0043603,GO:0043604,GO:0043687,GO:0044085,GO:0044093,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044449,GO:0044456,GO:0044464,GO:0044703,GO:0045137,GO:0045202,GO:0045595,GO:0045596,GO:0045610,GO:0045611,GO:0045613,GO:0045614,GO:0045732,GO:0045787,GO:0045861,GO:0045893,GO:0045935,GO:0045944,GO:0046328,GO:0046483,GO:0046530,GO:0046903,GO:0048134,GO:0048135,GO:0048138,GO:0048140,GO:0048142,GO:0048232,GO:0048468,GO:0048469,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048580,GO:0048581,GO:0048583,GO:0048592,GO:0048599,GO:0048608,GO:0048609,GO:0048646,GO:0048666,GO:0048667,GO:0048699,GO:0048729,GO:0048731,GO:0048749,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0048870,GO:0050789,GO:0050793,GO:0050794,GO:0050821,GO:0050896,GO:0051090,GO:0051091,GO:0051093,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051241,GO:0051246,GO:0051247,GO:0051248,GO:0051252,GO:0051254,GO:0051276,GO:0051301,GO:0051674,GO:0051704,GO:0051716,GO:0051726,GO:0060255,GO:0060429,GO:0060548,GO:0061136,GO:0061458,GO:0061564,GO:0065007,GO:0065008,GO:0065009,GO:0070011,GO:0070013,GO:0070302,GO:0070382,GO:0070646,GO:0070647,GO:0071704,GO:0071840,GO:0080090,GO:0080134,GO:0080135,GO:0090304,GO:0090596,GO:0097159,GO:0097458,GO:0097659,GO:0097708,GO:0097734,GO:0098727,GO:0098793,GO:0099080,GO:0099081,GO:0099503,GO:0099512,GO:0101005,GO:0120036,GO:0120039,GO:0140096,GO:0140110,GO:0140112,GO:1900101,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901799,GO:1902531,GO:1902680,GO:1903050,GO:1903051,GO:1903362,GO:1903363,GO:1903364,GO:1903506,GO:1903508,GO:1903706,GO:1903707,GO:1903894,GO:1905897,GO:1990182,GO:2000026,GO:2000058,GO:2000059,GO:2000112,GO:2001141	-	ko:K09613	-	-	-	-	ko00000,ko01000,ko01002,ko04121	-	-	-
TTHERM_00471920	m0219	ubiquitin carboxyl-terminal hydrolase	Belongs to the peptidase C19 family	-	5878|Ciliophora	O	-	3.4.19.12	ko:K11843	-	-	-	-	ko00000,ko01000,ko01002,ko04121	-	-	-
TTHERM_00470650	m0219	PRE7 proteasome subunit beta type protein	Proteasome subunit	-	5878|Ciliophora	O	-	3.4.25.1	ko:K02732	ko03050,map03050	M00337,M00340	-	-	ko00000,ko00001,ko00002,ko01000,ko01002,ko03051	-	-	-
TTHERM_00469100	m0219	RPT4 26S proteasome regulatory ATPase subunit 10B	ATPase family associated with various cellular activities (AAA)	-	5878|Ciliophora	O	-	-	ko:K03064	ko03050,ko05169,map03050,map05169	M00341	-	-	ko00000,ko00001,ko00002,ko03051	-	-	-
TTHERM_00442640	m0219	hypothetical protein	zinc ion binding	-	5878|Ciliophora	O	-	2.3.2.27	ko:K11981	ko04144,map04144	-	-	-	ko00000,ko00001,ko01000,ko03029,ko04121,ko04131	-	-	-
TTHERM_00419760	m0219	WD domain G-beta repeat protein	WD domain, G-beta repeat	-	5878|Ciliophora	S	-	-	-	-	-	-	-	-	-	-	-
TTHERM_00378970	m0219	RPN6 26S proteasome non-ATPase regulatory subunit	PCI/PINT associated module	-	5878|Ciliophora	O	-	-	ko:K03036	ko03050,ko05169,map03050,map05169	M00341	-	-	ko00000,ko00001,ko00002,ko03051	-	-	-
TTHERM_00290670	m0219	FMN-dependent dehydrogenase	FMN-dependent dehydrogenase	-	5878|Ciliophora	C	-	1.1.3.15	ko:K11517	ko00630,ko01100,ko01110,ko01120,ko01130,ko01200,ko04146,map00630,map01100,map01110,map01120,map01130,map01200,map04146	M00532	R00475	RC00042	ko00000,ko00001,ko00002,ko01000	-	-	-
TTHERM_00149670	m0219	hypothetical protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TTHERM_00131180	m0219	alix V-shaped domain binding to HIV protein	BRO1-like domain	-	5878|Ciliophora	S	-	-	ko:K12200	ko04144,map04144	-	-	-	ko00000,ko00001,ko04131,ko04147	-	-	-
TTHERM_00077620	m0219	transmembrane protein putative	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TTHERM_000670919	m0219	transmembrane protein putative	Regulator of chromosome condensation (RCC1) repeat	-	5911.EAS06168|-	DZ	-	-	-	-	-	-	-	-	-	-	-
